policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Expected-AoI Bayes-Safe,expected,2,17,623.2181081081081,2.48081685682894,-0.08583392487125012,0.31126854037477036,0.398372019129256,23.99850626341546,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,18,471.81432432432433,2.110053480382124,-0.07880620991945064,0.25757364461496146,0.3979754497712922,23.99096444755914,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,2,19,395.2935135135135,1.7960590747933618,-0.05110905412564325,0.20854788856097936,0.3887730580208777,23.99913142360014,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,0,484.11432432432434,3.5467482632394343,-0.2388318311272941,0.2619390553834136,0.40097767083022173,23.9999869005956,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,1,487.1575675675676,3.6268784520411907,-0.2677152233592138,0.25710407449102096,0.40250153803845606,23.997178848816354,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,2,392.1654054054054,3.1912075686846584,-0.3323723602294951,0.21456762183937994,0.39347990543967415,23.994534071506855,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,3,441.5362162162162,3.2805791685896053,-0.19165803841145834,0.22391230518430152,0.398638897608403,23.99077128899404,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,4,355.9581081081081,3.372910423016184,-0.37510739966994067,0.20530112493491948,0.3908425697648044,23.9963708700767,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,5,489.8213513513513,3.1908414646255365,-0.17970664713938314,0.22475512732347605,0.3953576535805706,23.999042555185067,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,6,527.7916216216216,3.99887463632309,-0.3747201139790903,0.27635411542472277,0.4009328596247732,23.9988588682768,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,7,426.2237837837838,3.438445491464064,-0.28802628859552254,0.2371925573685346,0.3942464607528705,23.99823224735313,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,8,476.55945945945945,3.7199180852684695,-0.41076013161615754,0.2456947492645719,0.38815363442732,23.998604899751726,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,9,564.6818918918918,4.0885332664704315,-0.3249052303223935,0.29716334706352016,0.39734502335795746,23.999663897174987,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,10,511.30756756756756,3.8505799248555883,-0.31148482290484125,0.26610849823536525,0.4015861034500035,23.998944582949715,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,11,369.32540540540543,3.356239446160966,-0.3199845931537025,0.20257397001191904,0.39670391628083695,23.995570053213843,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,12,380.8891891891892,3.2506318771944023,-0.24267961485358447,0.2171219628707348,0.39329544377353,23.988613742744718,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,13,549.8181081081082,4.446794738884875,-0.49113498150657464,0.29715952987325545,0.39539128297235326,23.9988364248306,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,14,455.9121621621622,4.078209666396773,-0.541651725261122,0.25261281187490014,0.3945300258755554,23.998658171398066,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,15,515.5191891891892,4.146338050015697,-0.4124156799139935,0.28360093072506076,0.39534038695475165,23.99675155139071,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,16,437.68,3.741647280037826,-0.4463438718029531,0.23872886550062944,0.39667372353395125,23.998231558530424,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,17,682.8997297297298,4.357647301584313,-0.29015473102269396,0.3120223376131125,0.402322243681923,23.998506263415575,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,18,486.38324324324327,3.6108579441342,-0.282543383722992,0.25896540027447873,0.40200048592574283,23.99597637342366,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,4,19,381.5062162162162,2.93449661704722,-0.14606687164210747,0.2088853356952741,0.39410602177973747,23.998700814478376,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,0,516.7402702702702,5.43905200560963,-0.4788140077846087,0.2624259538480478,0.40176013933807514,23.991957560905803,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,1,512.3197297297297,5.625639645002594,-0.6057115716765451,0.25814710527467377,0.40079119155953913,23.995835731534434,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,2,363.4597297297297,4.460740369025557,-0.4724896325422484,0.21455039949644691,0.39965698401800503,23.994468613622075,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,3,446.12135135135134,4.883461291340809,-0.45990904708335817,0.22433699937077564,0.4020158919992707,23.995878970711992,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,4,366.51594594594593,4.8491863991294295,-0.6915016860319242,0.20537104425961383,0.3893750757606813,23.978225220459954,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,5,485.5927027027027,4.979372310066154,-0.3533674748709259,0.22500127747130075,0.3981543545482785,23.999795159826665,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,6,534.0951351351351,6.06166864684808,-0.6396411457917497,0.27592669752154775,0.40195826980129307,23.997936786619835,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,7,418.6462162162162,5.001176886392505,-0.44723423467516277,0.23803225794160754,0.39607177016608863,23.99734837102992,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,8,478.0891891891892,5.590325457236319,-0.8098511458655921,0.24687176144256676,0.39330489919509415,23.999853739579528,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,9,569.5345945945946,6.268760306008346,-0.6016384707417366,0.2982214391856824,0.39694762920656335,23.99966389717498,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,10,537.1708108108108,6.010009632341046,-0.7136118822060272,0.26680390493221545,0.40282175299908035,23.998944582949935,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,11,373.7918918918919,4.795636833943332,-0.6172521472789174,0.20253340810381162,0.3912696160578118,23.99740124216094,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,12,404.06594594594594,4.7641897282163255,-0.5555640448270265,0.21794649125431353,0.3956330095611885,23.998325479907187,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,13,543.4394594594595,6.568469114046656,-0.8085697406753178,0.2981312033700293,0.3998617874280708,23.99959963458945,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,14,447.5651351351351,5.775182980200795,-0.8568109738548153,0.2528847660203538,0.39176333565202426,23.982427306726393,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,15,540.0759459459459,6.267812302088954,-0.6971947908850448,0.2845692310677377,0.3997728528925098,23.999279349730735,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,16,440.3181081081081,5.387745832840163,-0.7427282272564049,0.23939688718985674,0.39840340546796554,23.99840840267742,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,17,641.7762162162162,6.77364911501895,-0.5009837546329863,0.31308634542088765,0.40184936141645505,23.999987487649836,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,18,510.3475675675676,5.513739605856044,-0.5934512246396131,0.26025769459202325,0.4030067449643555,23.999992026264568,0.4064864864864865,True,True
Expected-AoI Bayes-Safe,expected,8,19,401.7462162162162,4.45284624623677,-0.3770050305007329,0.2098670543330229,0.4005055782903692,23.99870081447867,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,0,507.3554054054054,2.0966778207960197,-0.04594995426651031,0.2652871521230303,0.4034388028729139,23.999481339771187,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,1,479.0289189189189,2.1298692575078726,-0.0587381356025055,0.2598346117672417,0.4014724362229226,23.998592687482358,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,2,385.4081081081081,1.882588163748778,-0.07238644653154358,0.21820626763596238,0.39762180179665174,23.99872826134136,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,3,455.59,1.9326756142701709,-0.04949839325559565,0.22650654468750075,0.4036239555672678,23.999582564745534,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,4,366.5327027027027,2.065890641702715,-0.14168021740344763,0.20754954858378125,0.39720171044933794,23.996370870076614,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,5,482.90837837837836,1.8562784057854773,-0.00872100516201228,0.22701787490580058,0.3998754828820607,23.99918063930859,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,6,535.7637837837838,2.3516392971161864,-0.11603641488878444,0.27837789776244765,0.40412399323772236,23.99923924551814,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,7,413.3878378378378,2.0451001057288485,-0.07543125084888812,0.24139611505606406,0.4026451948791845,23.999116123676572,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,8,448.72945945945946,2.197179925969294,-0.11189202819689045,0.24941246384997648,0.39819996378896816,23.99986093339136,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,9,560.8886486486487,2.360653308251314,-0.0836476498946435,0.3019405112505794,0.39977898981037985,23.999925892926175,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,10,503.4608108108108,2.2144613744067945,-0.053702373727508995,0.2682057692174656,0.3999412679936998,23.998944582951015,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,11,355.9883783783784,2.0097969055424385,-0.13915473266571507,0.20523512475158492,0.39887763637004703,23.999232431108062,0.4064864864864865,True,True
Ji'24-style Expected-AoI Greedy-Safe,expected,2,12,407.39,1.9459680172046843,-0.059177150075763504,0.21905099214359713,0.3983908879802858,23.998392376419748,0.4064864864864865,True,True
