city,policy,seed,wAoI,mean_power,max_avg_power,max_queue,feasible,certificate_ok
London,Bayes-FreshSky,2,2779.0723529411766,0.399474355448226,0.4212039005669441,65.51527623908923,False,True
London,Bayes-FreshSky,3,2965.1023529411764,0.39899586895316713,0.42175180367334364,61.99037390632786,False,True
London,Bayes-FreshSky,4,2807.354705882353,0.4004806909333279,0.42386155548859966,64.88355886975312,False,True
London,Bayes-Aggregate-DPP,0,2842.7182352941177,0.3993273283913222,0.48239503910320347,182.01464838624855,False,True
London,Bayes-Aggregate-DPP,1,2842.4323529411763,0.3996946455541814,0.4778455982490229,216.80646033359352,False,True
London,Bayes-Aggregate-DPP,2,2903.1835294117645,0.40010797290036515,0.47045561766589616,152.8035092003599,False,True
London,Bayes-Aggregate-DPP,3,2924.1223529411764,0.3999304519341685,0.46419993659392683,138.01959517619764,False,True
London,Bayes-Aggregate-DPP,4,2958.2935294117647,0.4001317486147074,0.4653173862461496,155.6872198739546,False,True
London,TS-DPP adapted,0,3118.234705882353,0.3965150475511929,0.6423424254183489,554.2527421019925,False,True
London,TS-DPP adapted,1,3334.544117647059,0.3961015120510443,0.85836839419425,810.7823925794094,False,True
London,TS-DPP adapted,2,3296.022941176471,0.3983970986038578,0.8265157831878647,1056.3894360164372,False,True
London,TS-DPP adapted,3,3232.156470588235,0.394343045819459,0.7085628879038047,681.5787225343635,False,True
London,TS-DPP adapted,4,3107.935294117647,0.39808026044243244,0.5881169934649825,444.3558231957916,False,True
London,FreshSky-B fixed-GE,0,2992.4641176470586,0.43597653843227063,0.5305150260462955,271.1977210718537,False,True
London,FreshSky-B fixed-GE,1,2966.7535294117647,0.4376500200371902,0.5232050666971262,282.3024293776957,False,True
London,FreshSky-B fixed-GE,2,2976.7311764705883,0.43844249719758266,0.5271031727658988,274.912385674336,False,True
London,FreshSky-B fixed-GE,3,2860.3811764705883,0.4426943442711611,0.5466366492648448,295.8873687335206,False,True
London,FreshSky-B fixed-GE,4,3132.3817647058822,0.4369480301726285,0.539765382931199,283.97943428635045,False,True
London,Wang'26 fixed-GE,0,2547.1017647058825,0.8383489692437553,1.796188337305859,2690.7590909218156,False,True
London,Wang'26 fixed-GE,1,2774.3517647058825,0.8613372719401404,1.8135833343287557,2532.8466257675414,False,True
London,Wang'26 fixed-GE,2,2500.664117647059,0.8640464332909907,1.6903675248298553,2562.061485789069,False,True
London,Wang'26 fixed-GE,3,2755.4241176470587,0.8347404214320528,1.9474701853195249,2859.1182768606072,False,True
London,Wang'26 fixed-GE,4,2656.9917647058824,0.8702450361521011,1.8234488492089884,2761.32985163676,False,True
London,Memoryless,0,2708.5023529411765,0.6521742426074838,0.8800350427138333,862.8482380942244,False,True
London,Memoryless,1,2793.084705882353,0.6261612728857485,0.7978110001431098,823.8374770478687,False,True
London,Memoryless,2,2774.0311764705884,0.6499068893354082,0.7724654207289327,828.138712922933,False,True
London,Memoryless,3,2898.910588235294,0.6466941626518552,0.8271869266809388,819.0056759759731,False,True
London,Memoryless,4,2604.7858823529414,0.6232170192292011,0.889012112775455,959.4511302952519,False,True
