quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,9,398.83933333333334,3.1351783564369016,-0.35973542846356543,46.0,83.0,67.3162962962963,0.39709974409473,23.99858880274192,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,10,402.06177777777776,3.08537510089809,-0.25808644369581346,46.0,83.0,67.05851851851853,0.39157472708039937,23.99420401491214,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,11,383.8511111111111,3.079496144175783,-0.2616097765357694,45.0,80.0,65.26814814814814,0.3976879702776638,23.99083307909097,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,12,394.9822222222222,3.039482025523088,-0.2844191861520314,46.0,83.0,66.78037037037036,0.40025569431757996,23.997786994811563,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,13,409.3404444444445,3.163292613750931,-0.3444041963372804,46.0,82.0,66.97148148148148,0.3956941050967762,23.998978039003728,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,14,405.87822222222223,3.13252595121544,-0.270214147422886,48.0,83.0,68.01703703703704,0.39691145984802545,23.998932098053245,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,15,396.29555555555555,3.0196321305493665,-0.23225111005344687,46.0,83.0,67.19666666666667,0.4011504221976933,23.999024980401373,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,16,419.1731111111111,3.210920045028175,-0.34979831360311847,48.0,82.0,67.75111111111111,0.398169668696875,23.999094460429777,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,17,404.5613333333333,3.0810005172899344,-0.33010671960959603,45.0,81.0,65.42296296296297,0.3952634643547638,23.99937229073624,0.4053333333333334,True,True
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,18,406.6406666666667,3.17198013226852,-0.3390731328544378,47.0,83.0,67.61,0.39344296540772183,23.995909090869993,0.4053333333333334,True,True
