policy,age_mode,extra_delay,seed,pre_wAoI,post_wAoI,post_age_mae,post_age_bias,post_max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Expected-AoI Bayes-Safe,expected,4,3,257.17470588235295,413.1885,3.391770921657625,-0.4518662189351165,0.38552994940704516,23.96071661228747,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,4,4,240.77058823529413,424.827,3.2662776654842824,-0.40359057672492,0.3782867105519178,23.998624315966083,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,0,320.7917647058824,563.15,6.83511390272688,-1.5518641485818703,0.4009825273818639,23.995955160104135,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,1,268.19176470588235,435.132,5.4024079777902845,-1.0707129384523297,0.4006121629365295,23.999127549810805,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,2,248.71470588235294,412.537,4.806465540244282,-0.7752418011791313,0.4029690102576429,23.999022390341555,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,3,255.42529411764707,402.5545,5.067867950707122,-0.9992898559140323,0.38927295862458927,23.9876152193019,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,8,4,252.52470588235295,473.628,5.303461845666134,-1.1481622144593355,0.3834890818168755,23.996539005605992,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,0,236.8929411764706,599.9925,0.0,0.0,0.3898130976497784,23.999726454188448,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,1,198.66411764705882,418.981,0.0,0.0,0.39266801239671173,23.99956377490547,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,2,188.79,398.174,0.0,0.0,0.3845537597888797,23.99600132356697,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,3,196.30058823529413,395.284,0.0,0.0,0.3743009217544128,23.989744264920095,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,2,4,198.17,465.382,0.0,0.0,0.3766807762320989,23.997734989018618,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,0,228.20882352941177,631.629,0.0,0.0,0.3931639265694041,23.999452908377098,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,1,202.46058823529413,437.1695,0.0,0.0,0.39039825509962095,23.999563774905468,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,2,184.79823529411766,407.8525,0.0,0.0,0.38347050976130537,23.999022390341096,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,3,195.9635294117647,414.4915,0.0,0.0,0.37242941714564076,23.992262590616427,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,4,4,198.05705882352942,459.1005,0.0,0.0,0.3857186695018574,23.99971247212877,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,0,228.77588235294118,639.0395,0.0,0.0,0.3965147554890297,23.99972645418899,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,1,199.2835294117647,448.3645,0.0,0.0,0.3903940670626493,23.99956377490558,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,2,190.21176470588236,418.7175,0.0,0.0,0.4018857602300686,23.99400198535045,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,3,191.31588235294117,429.1085,0.0,0.0,0.37804393097195693,23.991873310538068,0.41200000000000003,True,True
Perfect-AoI Bayes-Safe,perfect,8,4,194.3535294117647,480.526,0.0,0.0,0.3839646586454268,23.999712472128785,0.41200000000000003,True,True
