policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,sweep,value
Expected-AoI Bayes-Safe-f0,expected,4,2,374.3591891891892,3.261845580001308,-0.654639353279305,0.21480558997604748,0.3965684447288396,23.997234306811038,0.4064864864864865,True,True,forget,0.0
Expected-AoI Bayes-Safe-f0,expected,4,3,444.95567567567565,3.3541806206860096,-0.5078294137369903,0.22294732725248612,0.3930154648835195,23.999484871338925,0.4064864864864865,True,True,forget,0.0
Expected-AoI Bayes-Safe-f0,expected,4,4,350.7137837837838,3.448782868397567,-0.7839398998840762,0.20462267565460315,0.37567846505553215,23.9963708700767,0.4064864864864865,True,True,forget,0.0
Expected-AoI Bayes-Safe-f0.0005,expected,4,0,484.6716216216216,3.610347357987796,-0.42928591864217275,0.26184265021919534,0.40008147580323644,23.999481339769986,0.4064864864864865,True,True,forget,0.0005
Expected-AoI Bayes-Safe-f0.0005,expected,4,1,486.00054054054056,3.6479843527229954,-0.423583318424469,0.2569848886412098,0.40079119155953913,23.99859268748187,0.4064864864864865,True,True,forget,0.0005
Expected-AoI Bayes-Safe-f0.0005,expected,4,2,380.3802702702703,3.2106496736013908,-0.49078993696545997,0.21458551949974977,0.3885382425770095,23.998728261340897,0.4064864864864865,True,True,forget,0.0005
Expected-AoI Bayes-Safe-f0.0005,expected,4,3,448.08054054054054,3.327883561793175,-0.41611758012681366,0.22364527491234268,0.3973892458917622,23.999484871338854,0.4064864864864865,True,True,forget,0.0005
Expected-AoI Bayes-Safe-f0.0005,expected,4,4,345.00081081081083,3.39760801276625,-0.5991253788935402,0.20516370857508817,0.38399426441222984,23.996370870076753,0.4064864864864865,True,True,forget,0.0005
Expected-AoI Bayes-Safe-f0.002,expected,4,0,500.12945945945944,3.639172238064371,-0.27989807884482776,0.26227193135256405,0.3974186974204859,23.99783224446067,0.4064864864864865,True,True,forget,0.002
Expected-AoI Bayes-Safe-f0.002,expected,4,1,494.7613513513514,3.617409545475593,-0.26612320309081455,0.2570952962963922,0.40250153803845606,23.992947122040906,0.4064864864864865,True,True,forget,0.002
Expected-AoI Bayes-Safe-f0.002,expected,4,2,394.5410810810811,3.2021178864759197,-0.3291353154073736,0.21456762183937994,0.39347990543967415,23.994534071506855,0.4064864864864865,True,True,forget,0.002
Expected-AoI Bayes-Safe-f0.002,expected,4,3,442.7591891891892,3.2887514104501836,-0.18752797883746203,0.22391230518430152,0.398638897608403,23.99077128899404,0.4064864864864865,True,True,forget,0.002
Expected-AoI Bayes-Safe-f0.002,expected,4,4,355.9581081081081,3.372910423016184,-0.37510739966994067,0.20530112493491948,0.3908425697648044,23.9963708700767,0.4064864864864865,True,True,forget,0.002
Expected-AoI Bayes-Safe-f0.01,expected,4,0,507.0843243243243,3.627050152825178,0.1354954955475262,0.26099710628422573,0.4023196938496881,23.99001231352402,0.4064864864864865,True,True,forget,0.01
Expected-AoI Bayes-Safe-f0.01,expected,4,1,503.8245945945946,3.628622997679358,0.11382105116369229,0.25688614020548606,0.3996509605735945,23.998592687482066,0.4064864864864865,True,True,forget,0.01
Expected-AoI Bayes-Safe-f0.01,expected,4,2,376.357027027027,3.15488907955744,0.15460761674311843,0.21335889013950504,0.39718615258667267,23.993167589383596,0.4064864864864865,True,True,forget,0.01
Expected-AoI Bayes-Safe-f0.01,expected,4,3,446.75054054054056,3.4098914829978115,0.13568921264582545,0.22437102831479305,0.4036239555672678,23.99311200843029,0.4064864864864865,True,True,forget,0.01
Expected-AoI Bayes-Safe-f0.01,expected,4,4,372.1572972972973,3.3913429194790266,0.12507934925242106,0.20467981335267227,0.39035340509676336,23.96650138374592,0.4064864864864865,True,True,forget,0.01
Expected-AoI Bayes-Safe-f0.02,expected,4,0,550.9902702702702,3.7983171389604773,0.20404512602282363,0.26064359021844935,0.40287924836130096,23.99722046961106,0.4064864864864865,True,True,forget,0.02
Expected-AoI Bayes-Safe-f0.02,expected,4,1,505.3354054054054,3.674129361312446,0.2588223491392104,0.2564199719115905,0.40136130705251144,23.9996299217763,0.4064864864864865,True,True,forget,0.02
Expected-AoI Bayes-Safe-f0.02,expected,4,2,377.5681081081081,3.2035003426553206,0.34903645945013223,0.21302323264737374,0.3984215683023388,23.994468613621898,0.4064864864864865,True,True,forget,0.02
Expected-AoI Bayes-Safe-f0.02,expected,4,3,452.37216216216217,3.385752240298767,0.3370433981110715,0.22342486619010096,0.4014798708099383,23.998656894089862,0.4064864864864865,True,True,forget,0.02
Expected-AoI Bayes-Safe-f0.02,expected,4,4,389.98324324324324,3.4342019568055915,0.3325544602284463,0.20457268424686248,0.3898642404287223,23.994414634040307,0.4064864864864865,True,True,forget,0.02
