quantile,good_fraction,threshold_db,policy,seed,wAoI,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,fitted_pLL,fitted_pNL
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky,1,914.9615555555556,0.19143097300303155,0.394204562397723,31.662391728737777,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky,2,941.5182222222222,0.20421783799431417,0.39615814490987455,32.43214508698386,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky,3,881.7702222222222,0.2736112696937208,0.3898172320217169,44.644313532384004,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky,4,904.7262222222222,0.21080962352596103,0.39170571157937145,37.01531456756356,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-Aggregate-DPP,0,919.1162222222222,0.21233947989783356,0.49200416098818306,472.829689028278,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-Aggregate-DPP,1,904.4348888888888,0.20170195975852198,0.5004246070856135,501.28371429655726,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-Aggregate-DPP,2,919.6297777777778,0.21189022261318272,0.49932898084469224,520.2670275828415,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-Aggregate-DPP,3,891.424,0.29106083049066006,0.5297902149484375,695.9748193921438,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-Aggregate-DPP,4,861.0162222222223,0.2236278051102537,0.45787799433691106,327.77336435083714,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,TS-DPP adapted,0,874.2675555555555,0.21034656269534735,0.5258433612009451,767.9750821904013,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,TS-DPP adapted,1,927.5108888888889,0.18803687603154992,0.4399890644183633,302.993873789336,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,TS-DPP adapted,2,955.1962222222222,0.2033200824498057,0.4081831386658566,151.66549542261478,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,TS-DPP adapted,3,947.0044444444444,0.2988753663740058,0.5149608739336172,727.0662678186553,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,TS-DPP adapted,4,925.7388888888889,0.2174649865419378,0.5979101982247488,918.4288275516625,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,FreshSky-B fitted-GE,0,784.4302222222223,0.2033071092994282,0.3726764549747589,76.08159754899975,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,FreshSky-B fitted-GE,1,800.2317777777778,0.18719021282239237,0.37085446636719643,70.40305767647425,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,FreshSky-B fitted-GE,2,847.3582222222223,0.20331757345661852,0.4019642958499292,101.97589686072095,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,FreshSky-B fitted-GE,3,821.1353333333333,0.27183334606583204,0.3970085644464837,94.54407446950438,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,FreshSky-B fitted-GE,4,808.6602222222223,0.20959422435917704,0.382453150148913,113.41830481386619,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Wang'26 fitted-GE,0,778.0262222222223,0.2116677136306464,0.4795370872255865,429.9496782247904,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Wang'26 fitted-GE,1,859.7602222222222,0.20296645914967337,0.4976775369643748,510.9882531604941,,,,0.9239543726235742,0.07633587786259542
