mean_dwell,extra_delay,policy,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,p99_slot_aoi,p99_slot_aoi_std,cvar95_slot_aoi,cvar95_slot_aoi_std,slot_aoi_gt40,slot_aoi_gt40_std,slot_aoi_gt60,slot_aoi_gt60_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
4.0,8,Perfect-AoI Bayes-Safe,334.356,53.64311485091264,19.29156756756757,4.8806317353254185,17.530987837837834,3.7239682231649995,28.9,4.95423500093046,53.7,12.165981715879367,44.097027027027025,8.997588775607948,0.022254504504504505,0.010729993056579182,0.007146396396396396,0.004996143870094996,0.11822297297297298,0.017409074481365205,0.04281081081081081,0.008150240881497087,0.7967485115054721,0.06859721288370386,23.8,3.4896672875473063,118.8,33.09179153002549,0.08072972972972974,0.042976161577989856,0.24300759725916637,0.04193275753949138,0.3929119479769211,0.013136746746494298,23.99811345833287,0.0025152718894778576,True,True,10
8.0,2,Conservative-AoI Bayes-Safe,518.0803783783783,64.75674645607964,26.06183783783784,4.773526749695921,24.22842027027027,2.9597676099286034,44.3,5.355163655555056,70.4,8.959166627910582,61.140810810810805,7.660416085058164,0.0634527027027027,0.0188593132787489,0.019013513513513512,0.008693984134728432,0.13138288288288288,0.017630975632454454,0.03810810810810811,0.00850099179249402,0.7453681669421157,0.0758928323631952,32.1,3.8715486421958962,143.5,55.66816365252625,0.03361261261261261,0.023514470389636517,0.23414968284548898,0.042487435852624995,0.3775057683864717,0.01827367517901183,23.939886253531096,0.1760887754147618,True,True,10
8.0,2,Expected-AoI Bayes-Safe,432.3843243243244,73.27815671227305,22.88616216216216,3.8790038854809112,21.47692837837838,3.1823739186554656,38.0,5.6960024968783545,64.4,11.207140580897521,54.597657657657656,8.824713154826489,0.04349099099099099,0.01658403480431016,0.012997747747747748,0.007297432075894209,0.12527702702702703,0.016884195944560587,0.04121621621621622,0.009177921019176088,0.7964518620576099,0.06978711953606671,28.59999999999991,4.838732616433096,135.5,30.07860073577596,0.06474774774774775,0.037971237508685494,0.244725332938963,0.04174001272038937,0.3925404109256134,0.009410018979110871,23.99452125429103,0.011879798572807848,True,True,10
8.0,2,Perfect-AoI Bayes-Safe,445.9263783783784,77.27275205549294,25.25018918918919,5.167772717996106,22.611378378378376,3.722305588105654,39.6,6.899275324264136,70.2,12.416834450767949,58.270315315315315,9.868487993291687,0.04831981981981982,0.018919530234653703,0.017141891891891893,0.009357941423695221,0.10735810810810811,0.017939393174187596,0.03245945945945946,0.006661125040338098,0.7559829987885982,0.07738727889430778,30.104999999999926,5.4044451868604115,142.6,18.578362563895546,0.08654954954954955,0.046525289149648354,0.24546113243336087,0.041074945216946525,0.3907481345043024,0.011562257375606783,23.99842975370835,0.002577943180622489,True,True,10
8.0,4,Conservative-AoI Bayes-Safe,602.9286486486487,73.27937110897872,30.82710810810811,3.371147926427343,28.368028378378376,2.8671286627117984,49.9,5.915140648276159,79.9,10.354279845122553,68.78009009009008,8.121639237110426,0.08695495495495495,0.02181696097288526,0.02803153153153153,0.010953436472785887,0.1361509009009009,0.01856899218479686,0.03672972972972973,0.007455682988865077,0.742702516222287,0.07452805310973737,35.2,4.23739962188552,166.6,34.73774764015524,0.02509009009009009,0.01954210982003685,0.23005445856271792,0.043456941724368765,0.36137398113306896,0.029072760984848484,23.986192592150054,0.012509299237704465,True,True,10
8.0,4,Expected-AoI Bayes-Safe,441.8194864864865,74.04598696722195,25.053594594594593,4.877183892178304,22.542770270270267,3.517776703475732,39.5,5.797509043642029,66.9,11.149987543590449,56.19743243243242,9.039169835958681,0.04775,0.01743912534180777,0.014698198198198198,0.0078045240264839125,0.13005405405405407,0.017008603142796803,0.041243243243243244,0.011191640647731482,0.8053555183120285,0.06627864820507318,28.7,4.73872931866292,136.4,33.9450536406509,0.06136936936936936,0.03795583869098114,0.24526484643818997,0.04194591321100049,0.3954583712454788,0.009120641640732842,23.997838013165357,0.002565585037574393,True,True,10
8.0,4,Perfect-AoI Bayes-Safe,443.0990810810811,75.14896414249905,23.806783783783782,4.655622177861745,22.15308243243243,3.7691948002821802,38.9,6.244108334173014,65.9,10.816140202904588,55.526936936936934,8.85731429707096,0.04625,0.018193812870415608,0.014736486486486487,0.007460136207592958,0.10316216216216216,0.01744681814932476,0.03291891891891892,0.006911501279100806,0.7597902533514638,0.0789545320226611,30.9,5.36345659688476,132.2,29.09677339881902,0.09622522522522522,0.050058221655238766,0.2462695331547641,0.04096938282830181,0.3912809950646034,0.012884645881817692,23.998944846860823,0.0008010124306835991,True,True,10
8.0,8,Conservative-AoI Bayes-Safe,764.5571891891892,86.47645049683534,37.29378378378378,4.590280099330456,34.842121621621615,3.690695813955031,60.9,6.773313648265358,93.2,12.795832654944082,81.0608108108108,9.728784076129987,0.14108783783783782,0.027090380888973892,0.05092342342342342,0.015291165526754004,0.1416644144144144,0.0190096092739765,0.03491891891891892,0.0072272244543707355,0.7118850244213911,0.07960171756827035,39.83999999999996,5.628340983115954,174.2,26.582366753587273,0.016801801801801804,0.013241183200006704,0.22123430005910588,0.04338533545022649,0.33489803859141587,0.03233229872544612,23.862591134406255,0.4070383349721297,True,True,10
8.0,8,Expected-AoI Bayes-Safe,450.8580540540541,72.2450977063414,25.114945945945944,4.681274692834935,23.08962297297297,3.6792251772370412,40.8,5.788878225624642,68.1,11.46443776786866,57.71252252252252,8.495317096243017,0.051740990990990984,0.017745947156670286,0.015878378378378376,0.008017518907883353,0.1320900900900901,0.017060585088547336,0.04154054054054054,0.01107489023576644,0.8083741409157813,0.06481673631320434,29.3,4.945255863507525,139.0,31.13054948296145,0.0551981981981982,0.034420966154643705,0.24576052104639304,0.04222012922857315,0.39590662222913414,0.00905875233143905,23.98321966661816,0.04653657943953736,True,True,10
8.0,8,Perfect-AoI Bayes-Safe,442.9703513513514,74.70020087052907,23.74597297297297,3.851570148044563,21.62523243243243,3.2208049222080946,38.4,6.22182538417072,65.4,10.024414640710395,54.92657657657658,8.36724413280631,0.045,0.017853061218119456,0.014306306306306305,0.007023342890916077,0.102240990990991,0.01762170903627366,0.03294594594594595,0.005557105538182896,0.7583163434208114,0.07627376983098139,30.619999999999983,5.380995364345807,129.6,23.912804566219794,0.10657657657657657,0.053767592628647075,0.24655691372033775,0.040831205266198406,0.39258329546311577,0.012768959098201459,23.998762319349137,0.0009303450057305972,True,True,10
