scenario,forget,seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,pre_wAoI,post_wAoI,post_mean_power,post_max_avg_power,final_model_entropy,post_feasible
stationary-dwell8,0.002,3,370.9575675675676,0.2144312274353809,0.3828408243205504,23.98730133334247,12.14348857063114,0.5404246027855372,True,True,,,,,,
stationary-dwell8,0.002,4,382.11945945945945,0.22043196208118335,0.38763920842282557,23.98686902705715,23.111048341248296,0.5292278910474645,True,True,,,,,,
stationary-dwell8,0.01,0,402.69216216216216,0.23637384143145881,0.3935116318997652,23.999005432735007,16.189828364059743,0.835182552904333,True,True,,,,,,
stationary-dwell8,0.01,1,359.80432432432434,0.21561809434324763,0.37057195018548283,23.976878548852525,14.024424519594618,0.7941793906559754,True,True,,,,,,
stationary-dwell8,0.01,2,421.71054054054053,0.24428381521107675,0.39390907874271086,23.999737582804492,22.78778023415048,0.8217872914788366,True,True,,,,,,
stationary-dwell8,0.01,3,379.0662162162162,0.21435698167308295,0.3901330304980847,23.97127952199339,15.146460540547825,0.7996896653916195,True,True,,,,,,
stationary-dwell8,0.01,4,410.8356756756757,0.22127372500491074,0.39385092672496863,23.994634625069818,22.988069138598274,0.7774938150454723,True,True,,,,,,
stationary-dwell8,0.02,0,438.12864864864866,0.23666400652627526,0.3996953861153327,23.999303802914657,11.073939136667947,0.8963782303758974,True,True,,,,,,
stationary-dwell8,0.02,1,370.3686486486487,0.2161855146731941,0.37638691659352874,23.97687854885255,11.156283265998084,0.8577100990021007,True,True,,,,,,
stationary-dwell8,0.02,2,423.89,0.24419080858134623,0.39823096518659645,23.997205971490526,19.997205971489066,0.8832058909111546,True,True,,,,,,
stationary-dwell8,0.02,3,392.89243243243243,0.21519114267265094,0.39560218513123535,23.99191880870422,17.191918808704223,0.8698550952173847,True,True,,,,,,
stationary-dwell8,0.02,4,401.2335135135135,0.22185034452126515,0.3944899749928902,23.994634625069825,23.139710510216254,0.8564181020249882,True,True,,,,,,
shift-dwell2-to14,0.0,0,,,,23.999765608745825,,,,True,258.0423529411765,654.978,0.2763425203291197,0.40711289740993445,0.19358208645039773,True
shift-dwell2-to14,0.0,1,,,,23.995961346888937,,,,True,245.08352941176472,588.078,0.2441141910280762,0.3999730949814109,0.1955171334492729,True
shift-dwell2-to14,0.0,2,,,,23.99956915078116,,,,True,244.69588235294117,570.593,0.2753963784445282,0.4031956826296361,0.1610809468028742,True
shift-dwell2-to14,0.0,3,,,,23.998303256602593,,,,True,216.49705882352941,476.7735,0.22920486483341587,0.4034986292812154,0.1733595636979026,True
shift-dwell2-to14,0.0,4,,,,23.998204390216053,,,,True,241.3064705882353,645.4,0.28264615178291325,0.39163650868137057,0.19622495297172438,True
shift-dwell2-to14,0.0005,0,,,,23.994696717077066,,,,True,259.15529411764703,617.785,0.2664561877076968,0.39036789391749493,0.46751177503326846,True
shift-dwell2-to14,0.0005,1,,,,23.998060050541177,,,,True,249.2364705882353,540.559,0.23617974761455784,0.3981354603467863,0.3817277275816327,True
shift-dwell2-to14,0.0005,2,,,,23.999040584363406,,,,True,251.89529411764707,560.208,0.26057006849954273,0.37942450859704985,0.4661260269359009,True
shift-dwell2-to14,0.0005,3,,,,23.9847092107705,,,,True,219.0864705882353,460.3325,0.22101010889061753,0.39251228046415276,0.43174528598632667,True
shift-dwell2-to14,0.0005,4,,,,23.99269264017635,,,,True,244.02470588235295,638.9935,0.2722271634310672,0.35603318971033704,0.41612042759864676,True
shift-dwell2-to14,0.002,0,,,,23.998156868508943,,,,True,269.30529411764707,604.023,0.2663579327023465,0.39246101935404987,0.6055313817643372,True
shift-dwell2-to14,0.002,1,,,,23.998476907447476,,,,True,247.10470588235293,560.034,0.23691047055431336,0.4002090825360925,0.5717074488112849,True
shift-dwell2-to14,0.002,2,,,,23.998903524986797,,,,True,259.6652941176471,569.5685,0.26134380252829287,0.38525493159849217,0.6250296593496826,True
shift-dwell2-to14,0.002,3,,,,23.996726752015206,,,,True,218.40882352941176,464.0675,0.22057926679263262,0.39051476249741407,0.6010553816246028,True
shift-dwell2-to14,0.002,4,,,,23.9912380491931,,,,True,251.31411764705882,625.552,0.2757989601605873,0.37976873569102604,0.6336854771816389,True
