policy,extra_delay,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,p99_slot_aoi,p99_slot_aoi_std,cvar95_slot_aoi,cvar95_slot_aoi_std,slot_aoi_gt40,slot_aoi_gt40_std,slot_aoi_gt60,slot_aoi_gt60_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
Known-Transition Safe,4,443.51317567567565,71.93508536537092,25.5985,4.168435104502071,22.9362027027027,3.38126016559324,38.55,5.744333592424158,65.35,10.327658317149606,55.81909909909909,8.49209728182516,0.04502364864864865,0.016710688397735568,0.013849099099099099,0.007249449832421885,0.1275123873873874,0.018693605824229208,0.03929729729729729,0.008349373922880626,0.8184261631616107,0.05295318716534514,28.92999999999997,4.787384738203013,148.45,39.22469012993568,0.06357657657657657,0.036618667198367885,0.24711973459922681,0.041337141908673304,0.3936168314203061,0.007689698533161825,23.99667745007399,0.0032858311268389308,True,True,20
Known-Transition Safe,8,446.0487432432433,75.84334052301404,25.225567567567566,3.8935409571344333,22.91729189189189,3.369115562564585,39.95,5.707566538330823,66.95,10.480432895840254,56.357950450450446,8.295182461999268,0.049279279279279276,0.017475781790226744,0.015149774774774773,0.007561084891131989,0.13051576576576576,0.018785463588097705,0.04004054054054054,0.008891623822633397,0.8225209564887022,0.05407634638502916,28.99000000000001,5.11981701975662,129.1,25.774120026838837,0.05858558558558559,0.03719190700056858,0.24792085465890895,0.041626841242869084,0.39726965496255207,0.00700869382432702,23.987301563190783,0.04178210697293083,True,True,20
Max-Age-First Safe,2,457.6027567567568,81.94458008619172,25.223608108108106,5.2747316020919115,22.172862162162158,4.2741857096209035,36.75,6.315186374713609,67.5,14.60893742308382,56.20265765765765,11.540946876097394,0.040324324324324326,0.016389095793382002,0.014237612612612614,0.007673912666337494,0.11129617117117116,0.01819873583625957,0.040121621621621625,0.008889548174175905,0.8796838983868112,0.05538857479306277,28.6,4.892529213531909,157.65,56.57251983074469,0.44771621621621616,0.13170840123713257,0.25879872370307855,0.04046593091777986,0.40142773390897935,0.00175679114435767,23.999761440928033,0.0002335963221488673,True,True,20
Max-Age-First Safe,4,453.16532432432433,78.94842247537194,24.807081081081083,4.928992665320469,21.644610810810807,3.7687439391104998,36.55,5.462551938811249,66.35,13.203966708610912,55.06824324324324,10.682167677232963,0.039683558558558554,0.014639071504823752,0.01338400900900901,0.00660176216258021,0.11927702702702703,0.018184826626263195,0.04035135135135135,0.009432434470362164,0.8722815664831508,0.055369252416906406,28.45,4.61661758159985,145.2,58.20616715380633,0.4905675675675676,0.12751510501946334,0.2585960662048218,0.04075462500862115,0.4014546446593467,0.00167512610666061,23.999765536294607,0.00023441473842484396,True,True,20
Max-Age-First Safe,8,454.57562162162156,80.00941843714278,25.056459459459457,5.3058338617374305,22.067551351351348,4.063143772425155,37.1,5.437685266051318,67.35,13.91808743666804,56.182500000000005,10.958811967895615,0.04139864864864865,0.014915021098520288,0.013925675675675675,0.007015684804469583,0.12378490990990991,0.018348039268955778,0.04037837837837838,0.00933916603869202,0.8663078105768754,0.0565901061713251,28.58499999999999,4.878769797483995,152.65,59.58300269813797,0.542972972972973,0.12123996453718641,0.2581614649226085,0.04089312182782427,0.4014500327678482,0.001301252898754754,23.99978214462521,0.00015685516568492754,True,True,20
Round-Robin Safe,2,450.23913513513514,72.986315665731,24.503094594594593,4.41072750063832,21.61323851351351,3.467337392937768,36.6,5.566818991507676,66.55,10.287831340190728,55.473918918918926,8.531312200299714,0.040725225225225224,0.014112061674631604,0.013886261261261263,0.006255051803083749,0.13223536036036038,0.018991317977223098,0.04009459459459459,0.008045407160084261,0.7999326423409636,0.05632206740792645,25.6,4.750623227812492,147.0,38.12168881220684,0.04801801801801801,0.025900647328010194,0.2463733614540538,0.042680449537294086,0.4019071207095795,0.004702499427025187,22.87599279772882,5.0230975529168385,True,True,20
Round-Robin Safe,4,450.23913513513514,72.986315665731,24.503094594594593,4.41072750063832,21.61323851351351,3.467337392937768,36.6,5.566818991507676,66.55,10.287831340190728,55.473918918918926,8.531312200299714,0.040725225225225224,0.014112061674631604,0.013886261261261263,0.006255051803083749,0.13223536036036038,0.018991317977223098,0.04009459459459459,0.008045407160084261,0.7999326423409636,0.05632206740792645,25.6,4.750623227812492,147.0,38.12168881220684,0.04801801801801801,0.025900647328010194,0.2463733614540538,0.042680449537294086,0.4019071207095795,0.004702499427025187,22.87599279772882,5.0230975529168385,True,True,20
Round-Robin Safe,8,450.23913513513514,72.986315665731,24.503094594594593,4.41072750063832,21.61323851351351,3.467337392937768,36.6,5.566818991507676,66.55,10.287831340190728,55.473918918918926,8.531312200299714,0.040725225225225224,0.014112061674631604,0.013886261261261263,0.006255051803083749,0.13223536036036038,0.018991317977223098,0.04009459459459459,0.008045407160084261,0.7999326423409636,0.05632206740792645,25.6,4.750623227812492,147.0,38.12168881220684,0.04801801801801801,0.025900647328010194,0.2463733614540538,0.042680449537294086,0.4019071207095795,0.004702499427025187,22.87599279772882,5.0230975529168385,True,True,20
Static-Geometry Safe,2,433.98545945945943,72.73024767013331,24.14585135135135,3.7890239007492474,21.92486216216216,3.372081356298485,37.2,5.662433919679491,62.75,10.691240881158155,53.27882882882883,8.510859333230247,0.041123873873873874,0.016000576301619482,0.01228490990990991,0.007101368720594813,0.11956756756756756,0.019566044722074953,0.03813513513513513,0.007581221172032066,0.8140081046416047,0.056427922146938585,28.734999999999992,4.96983267747571,136.35,25.766716597396087,0.07353153153153154,0.039012141832617475,0.2475650867071566,0.04105393886721081,0.38982017904206306,0.007029610253974404,23.996459314577564,0.010092409595353641,True,True,20
Static-Geometry Safe,4,439.8777432432433,66.06708191615459,25.049121621621623,3.343137325098185,22.620685810810805,2.6795716286677727,38.0,4.866642633922876,64.6,8.248763862734702,54.94454954954955,6.514089293560063,0.04330630630630631,0.014084053206466336,0.013091216216216218,0.005398396529769904,0.1272162162162162,0.01896985821053073,0.03985135135135135,0.007927565565665897,0.818616055510134,0.053410106584013975,28.7,4.8024116748501315,141.75,31.185143223893277,0.06450900900900901,0.030754560258429146,0.24753276860603374,0.04163775865808337,0.3942762063398589,0.007654453606307776,23.99760528041157,0.001405769069336085,True,True,20
