policy,seed,extra_delay,dwell_pre,dwell_post,pre_wAoI,post_wAoI,post_max_avg_power,max_queue,certificate_ok
Static-Geometry Safe,7,4,2.0,14.0,244.97941176470587,431.048,0.39512570618682774,23.993998591492616,True
Static-Geometry Safe,8,4,2.0,14.0,321.2770588235294,610.1785,0.40234364487960583,23.99973872989393,True
Static-Geometry Safe,9,4,2.0,14.0,286.5176470588235,525.615,0.39701414076176206,23.999813419568433,True
Static-Geometry Safe,10,4,2.0,14.0,271.8864705882353,459.1745,0.3886046376396582,23.99904478399486,True
Static-Geometry Safe,11,4,2.0,14.0,239.66176470588235,398.8985,0.39995315712150614,23.986558396999207,True
Static-Geometry Safe,12,4,2.0,14.0,328.7335294117647,642.958,0.4029457963076096,23.998904467016203,True
Static-Geometry Safe,13,4,2.0,14.0,211.5194117647059,324.8025,0.3741918656000482,23.97781439109882,True
Static-Geometry Safe,14,4,2.0,14.0,315.4647058823529,553.348,0.3858482999072177,23.998710626694216,True
Static-Geometry Safe,15,4,2.0,14.0,234.1864705882353,379.9275,0.3940296145191094,23.989563686462375,True
Static-Geometry Safe,16,4,2.0,14.0,300.33235294117645,554.425,0.4099176736769564,23.9988089253643,True
Static-Geometry Safe,17,4,2.0,14.0,254.94117647058823,464.8465,0.39948515003010887,23.995369250220474,True
Static-Geometry Safe,18,4,2.0,14.0,342.36764705882354,662.739,0.4052243636223556,23.998520748184106,True
Static-Geometry Safe,19,4,2.0,14.0,235.7735294117647,406.7655,0.4047265407611941,23.99788780074203,True
