policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Regularized Bayes-Safe (alpha=.75),4,2,377.0145945945946,22.56,20.85916216216216,36.0,0.1429054054054054,0.03702702702702703,0.8229873791644967,26.0,147.0,0.032432432432432434,360,11100,0.21484834932342067,0.3959507368710065,23.997267035753424,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.75),4,3,428.6943243243243,29.873783783783782,24.945040540540532,38.0,0.1437387387387387,0.03189189189189189,0.8095173018000611,25.0,152.0,0.07027027027027027,780,11100,0.2242602505300698,0.39926372346672334,23.99845461401683,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.75),4,4,356.1772972972973,21.46081081081081,20.11182432432432,34.0,0.138963963963964,0.047027027027027025,0.8974793844891094,25.0,133.0,0.013783783783783784,153,11100,0.2054195319912175,0.3869292524204761,23.996370870076667,0.4064864864864865,True,True
Ji'24-style Greedy-Safe,4,0,527.9064864864865,30.534054054054053,29.867067567567567,46.0,0.12876126126126128,0.030810810810810812,0.7388813623448599,30.0,153.0,0.30774774774774777,3416,11100,0.26672338484602903,0.40455791189613965,23.999986900596085,0.4064864864864865,True,True
Ji'24-style Greedy-Safe,4,1,500.8735135135135,29.20027027027027,27.26486486486486,49.0,0.13119369369369369,0.032432432432432434,0.7510495463992208,29.0,157.0,0.31666666666666665,3515,11100,0.26069874497244566,0.40250153803845606,23.99962992177709,0.4064864864864865,True,True
Ji'24-style Greedy-Safe,4,2,388.76864864864865,27.784594594594594,21.837905405405397,37.0,0.14155405405405405,0.032972972972972976,0.8378651950222425,25.0,131.0,0.13387387387387387,1486,11100,0.21852595333778,0.3978038604445058,23.99872826134133,0.4064864864864865,True,True
Ji'24-style Greedy-Safe,4,3,455.0743243243243,32.748378378378376,26.65422972972972,43.0,0.14268018018018017,0.02891891891891892,0.8119332107954707,24.0,239.0,0.23792792792792794,2641,11100,0.22673930375241932,0.40040782843127354,23.999582564745356,0.4064864864864865,True,True
Ji'24-style Greedy-Safe,4,4,362.0451351351351,21.657027027027027,19.926905405405403,34.0,0.13873873873873876,0.05054054054054054,0.9047099966906903,26.0,125.0,0.07369369369369369,818,11100,0.20743287906810493,0.3991583691215021,23.99971665785284,0.4064864864864865,True,True
Zhu'26-style Aggregate-DPP,4,0,435.59027027027025,21.786756756756755,19.871418918918916,38.0,0.12042792792792793,0.05,0.8032263728681375,31.0,157.0,0.0,0,11100,0.2985092829679871,0.6321557827995165,920.5462925942055,0.4064864864864865,False,False
Zhu'26-style Aggregate-DPP,4,1,422.89513513513515,20.185135135135134,19.628,38.0,0.12252252252252253,0.04837837837837838,0.8179031282716291,31.0,114.0,0.0,0,11100,0.2920676646593132,0.5694163504637035,699.058643807611,0.4064864864864865,False,False
