seed,effect,metric,metric_label,unit,effect_value
4,Belief × age,worst_user_mean_aoi,worst user,relative_pct,-1.0522746356061732
4,Belief × age,max_avg_power,max power,relative_pct,-0.4830215019397299
4,Belief × age,rejection_rate,rejection,percentage_points,0.2274774774774774
4,Belief × shield,wAoI,W-AoI,relative_pct,-1.4505247780892168
4,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-1.5037593984962405
4,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,2.4662518569552323
4,Belief × shield,max_avg_power,max power,relative_pct,0.9637194642817235
4,Belief × shield,rejection_rate,rejection,percentage_points,-0.6328828828828826
4,Age × shield,wAoI,W-AoI,relative_pct,1.5621368201002468
4,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,2.255639097744361
4,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-1.4021357676491428
4,Age × shield,max_avg_power,max power,relative_pct,1.1377616713912093
4,Age × shield,rejection_rate,rejection,percentage_points,1.1058558558558576
4,Three-way,wAoI,W-AoI,relative_pct,0.8150341636472921
4,Three-way,p99_slot_aoi,p99 AoI,relative_pct,0.7518796992481203
4,Three-way,worst_user_mean_aoi,worst user,relative_pct,1.3332400370314574
4,Three-way,max_avg_power,max power,relative_pct,-0.5647351759117696
4,Three-way,rejection_rate,rejection,percentage_points,0.2274774774774774
5,Expected age,wAoI,W-AoI,relative_pct,-34.61773623792598
5,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-25.270758122743683
5,Expected age,worst_user_mean_aoi,worst user,relative_pct,-27.513416988884106
5,Expected age,max_avg_power,max power,relative_pct,9.755365297347042
5,Expected age,rejection_rate,rejection,percentage_points,1.114864864864865
5,Bayesian belief,wAoI,W-AoI,relative_pct,-1.275046534259696
5,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,3.6101083032490973
5,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-1.5543865931736724
5,Bayesian belief,max_avg_power,max power,relative_pct,3.1190945964397905
5,Bayesian belief,rejection_rate,rejection,percentage_points,-0.5247747747747747
5,Safety shield,wAoI,W-AoI,relative_pct,-0.48488933160071485
5,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,7.2202166064981945
5,Safety shield,worst_user_mean_aoi,worst user,relative_pct,4.995620423826833
5,Safety shield,max_avg_power,max power,relative_pct,-2.9295227549805958
5,Safety shield,rejection_rate,rejection,percentage_points,2.8400900900900847
5,Belief × age,wAoI,W-AoI,relative_pct,0.6609663175880504
5,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,-5.054151624548736
5,Belief × age,worst_user_mean_aoi,worst user,relative_pct,-6.751806272714511
5,Belief × age,max_avg_power,max power,relative_pct,-2.5417139545951644
5,Belief × age,rejection_rate,rejection,percentage_points,-0.2950450450450449
5,Belief × shield,wAoI,W-AoI,relative_pct,0.11811440208624062
5,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-1.444043321299639
5,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,-2.154945049627141
5,Belief × shield,max_avg_power,max power,relative_pct,0.8057741609351509
5,Belief × shield,rejection_rate,rejection,percentage_points,-0.5247747747747747
5,Age × shield,wAoI,W-AoI,relative_pct,0.7742331294739273
5,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-4.332129963898917
5,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-4.3113418924608435
5,Age × shield,max_avg_power,max power,relative_pct,2.487692323521938
5,Age × shield,rejection_rate,rejection,percentage_points,1.114864864864865
5,Three-way,wAoI,W-AoI,relative_pct,-2.337163972084139
5,Three-way,p99_slot_aoi,p99 AoI,relative_pct,-4.332129963898917
5,Three-way,worst_user_mean_aoi,worst user,relative_pct,-3.115064290242504
5,Three-way,max_avg_power,max power,relative_pct,-0.51364675149727
5,Three-way,rejection_rate,rejection,percentage_points,-0.2950450450450449
6,Expected age,wAoI,W-AoI,relative_pct,-41.16403637689165
6,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-28.571428571428573
6,Expected age,worst_user_mean_aoi,worst user,relative_pct,-33.0124442357361
6,Expected age,max_avg_power,max power,relative_pct,24.882237646287244
6,Expected age,rejection_rate,rejection,percentage_points,0.28153153153153
6,Bayesian belief,wAoI,W-AoI,relative_pct,1.1175159869805995
6,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,10.714285714285714
6,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,6.762802953223224
6,Bayesian belief,max_avg_power,max power,relative_pct,0.15270427482613208
6,Bayesian belief,rejection_rate,rejection,percentage_points,-0.056306306306304996
6,Safety shield,wAoI,W-AoI,relative_pct,0.03999156553726435
6,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,-1.7857142857142858
6,Safety shield,worst_user_mean_aoi,worst user,relative_pct,-2.972789648065533
6,Safety shield,max_avg_power,max power,relative_pct,-1.6552582011933918
6,Safety shield,rejection_rate,rejection,percentage_points,0.389639639639635
6,Belief × age,wAoI,W-AoI,relative_pct,2.597472311628225
6,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,0.0
6,Belief × age,worst_user_mean_aoi,worst user,relative_pct,3.647830737523163
6,Belief × age,max_avg_power,max power,relative_pct,0.22293420676566086
6,Belief × age,rejection_rate,rejection,percentage_points,0.05180180180180002
6,Belief × shield,wAoI,W-AoI,relative_pct,-0.9497325815679443
6,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-1.7857142857142858
6,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,-2.5977668205890736
6,Belief × shield,max_avg_power,max power,relative_pct,0.841374824411132
6,Belief × shield,rejection_rate,rejection,percentage_points,-0.056306306306304996
6,Age × shield,wAoI,W-AoI,relative_pct,-0.4084373480291153
6,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-1.7857142857142858
6,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-3.3028097362448134
6,Age × shield,max_avg_power,max power,relative_pct,-0.7237855155547642
6,Age × shield,rejection_rate,rejection,percentage_points,0.28153153153153
6,Three-way,wAoI,W-AoI,relative_pct,-0.5013036680015647
6,Three-way,p99_slot_aoi,p99 AoI,relative_pct,-1.7857142857142858
6,Three-way,worst_user_mean_aoi,worst user,relative_pct,-2.2677467324097926
6,Three-way,max_avg_power,max power,relative_pct,-0.09009786122749575
6,Three-way,rejection_rate,rejection,percentage_points,0.05180180180180002
7,Expected age,wAoI,W-AoI,relative_pct,-36.93427463691842
7,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-20.26768642447419
7,Expected age,worst_user_mean_aoi,worst user,relative_pct,-20.91113477148958
7,Expected age,max_avg_power,max power,relative_pct,15.307606045519032
7,Expected age,rejection_rate,rejection,percentage_points,1.772522522522525
7,Bayesian belief,wAoI,W-AoI,relative_pct,-0.16381717348231753
7,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,1.9120458891013383
7,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-1.7337699865151244
7,Bayesian belief,max_avg_power,max power,relative_pct,3.9683357603055534
7,Bayesian belief,rejection_rate,rejection,percentage_points,-0.61936936936937
7,Safety shield,wAoI,W-AoI,relative_pct,2.8282221401668326
7,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,10.325047801147228
7,Safety shield,worst_user_mean_aoi,worst user,relative_pct,9.004299242009136
7,Safety shield,max_avg_power,max power,relative_pct,-2.896520304292824
7,Safety shield,rejection_rate,rejection,percentage_points,3.4527027027027
7,Belief × age,wAoI,W-AoI,relative_pct,1.183776490388959
7,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,0.3824091778202677
7,Belief × age,worst_user_mean_aoi,worst user,relative_pct,4.218494238646569
7,Belief × age,max_avg_power,max power,relative_pct,-2.5701995658992445
7,Belief × age,rejection_rate,rejection,percentage_points,-0.15540540540540487
7,Belief × shield,wAoI,W-AoI,relative_pct,-1.8978901797546135
7,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-4.2065009560229445
7,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,-3.961485620552394
7,Belief × shield,max_avg_power,max power,relative_pct,0.8585352675536573
7,Belief × shield,rejection_rate,rejection,percentage_points,-0.61936936936937
7,Age × shield,wAoI,W-AoI,relative_pct,1.1333688288571007
7,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,7.265774378585086
7,Age × shield,worst_user_mean_aoi,worst user,relative_pct,7.58959830291257
7,Age × shield,max_avg_power,max power,relative_pct,1.9436941579626987
7,Age × shield,rejection_rate,rejection,percentage_points,1.772522522522525
7,Three-way,wAoI,W-AoI,relative_pct,-0.22430018612357375
7,Three-way,p99_slot_aoi,p99 AoI,relative_pct,0.3824091778202677
7,Three-way,worst_user_mean_aoi,worst user,relative_pct,1.007962883710507
7,Three-way,max_avg_power,max power,relative_pct,0.09429087877646793
7,Three-way,rejection_rate,rejection,percentage_points,-0.15540540540540487
8,Expected age,wAoI,W-AoI,relative_pct,-36.6295245932704
8,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-23.25581395348837
