mean_dwell,extra_delay,seed,gain_vs_conservative_pct,gap_vs_true_aoi_pct
4.0,8,7,44.01126064458279,19.711036300632806
4.0,8,8,39.006463519163155,4.2624399345746715
4.0,8,9,36.557427368689616,12.189934666692988
8.0,2,0,17.555846184904627,0.31084666914907505
8.0,2,1,15.122224731314667,-8.919713353201336
8.0,2,2,16.567831905515792,-2.7452780869669047
8.0,2,3,10.709300330740358,0.9273040805642564
8.0,2,4,15.728243305321943,-8.094466746484489
8.0,2,5,15.064577881555083,-3.204324834703828
8.0,2,6,24.16325585038084,-3.370943869314924
8.0,2,7,18.900218014722345,-1.284850842372956
8.0,2,8,23.697569990235543,-4.888460170298133
8.0,2,9,13.358081065297386,-3.427204278090066
8.0,4,0,30.705518254042925,0.5168086050454624
8.0,4,1,23.11261445785986,-0.03545513411893696
8.0,4,2,25.433695528863066,-0.8051779870425209
8.0,4,3,23.91689414831377,-3.5970589335238787
8.0,4,4,23.335891365933765,-4.044459158451654
8.0,4,5,30.374570583062066,-2.097615886900363
8.0,4,6,32.94028128417159,2.078469976093378
8.0,4,7,29.575768006195688,-1.191436732530405
8.0,4,8,28.483475277161464,4.409260543611086
8.0,4,9,22.276633360129846,0.829925332818326
8.0,8,0,44.65500869355129,-0.016755918960800774
8.0,8,1,37.079777456341375,4.710306169371832
8.0,8,2,40.10753549218377,4.836570631233453
8.0,8,3,37.728675302505366,-0.886471446000311
8.0,8,4,39.79622467735188,-6.237820970253486
8.0,8,5,41.853215697154305,0.48894058592145734
8.0,8,6,46.89900207000958,1.722882795437992
8.0,8,7,42.93460625093666,3.9642290922746017
8.0,8,8,42.363113115716956,4.205468646616341
8.0,8,9,35.52884269500522,1.932735219220258
14.0,2,0,19.03083959600184,-2.30972068952502
14.0,2,1,14.581450940830749,-6.508689440852155
14.0,2,2,11.249528364148302,1.7148632997851365
14.0,2,3,13.176019981212416,-2.157552799168529
14.0,2,4,11.736432944571089,-3.7762166899934853
14.0,2,5,15.275130127378398,-3.750282741461209
14.0,2,6,19.94918900492448,-1.7978453546419713
14.0,2,7,18.27377490232948,-0.08520066965649135
14.0,2,8,13.491729403860882,-1.6863098426922531
14.0,2,9,15.012176281128076,2.863414511312727
14.0,4,0,28.522673320315445,-3.733071553701883
14.0,4,1,19.737982875783548,-1.925098551855334
14.0,4,2,27.571830731447285,-1.7121699988859902
14.0,4,3,21.627161781854394,0.12506173845045238
14.0,4,4,24.548049638168177,-5.355901288330274
14.0,4,5,27.90483325133802,-10.577271567362075
14.0,4,6,29.827441313516932,-2.191790489210902
14.0,4,7,25.512809714953317,-2.2035562073628685
14.0,4,8,28.962863515362965,-1.3340286352047792
14.0,4,9,25.07537694828364,-4.001330316646309
14.0,8,0,46.400356097626364,-4.896236965325308
14.0,8,1,35.30858689755262,-3.9491707412014025
14.0,8,2,36.75482627685363,-5.265224408572234
14.0,8,3,35.961733893896394,-2.309745713591536
14.0,8,4,35.490911896503135,-11.601307453290836
14.0,8,5,40.020055315329714,-6.696212899925293
14.0,8,6,46.72255024499324,-6.708006868672601
14.0,8,7,41.33566631701387,-0.5937947172185997
14.0,8,8,42.77281206779616,-2.5778116562537816
14.0,8,9,37.33403569854298,-3.471944368868333
