good_fraction,extra_delay,seed,age_mae_reduction_pct,wAoI_gain_pct
0.2502378686964795,8,12,-107.89979815558891,0.10416795059354891
0.2502378686964795,8,13,-91.26129298889893,11.538737787838445
0.2502378686964795,8,14,-103.58881207164492,5.472409373351243
0.2502378686964795,8,15,-94.20406918954099,3.142409959730292
0.2502378686964795,8,16,-98.76760017187473,17.696663391221342
0.2502378686964795,8,17,-91.82493152190604,12.96278291763638
0.2502378686964795,8,18,-98.1309625018575,9.955488820173592
0.2502378686964795,8,19,-104.22606238413432,7.155942183612237
0.5004757373929591,4,0,-31.354480996572534,18.105682910947106
0.5004757373929591,4,1,-31.651662962171613,13.044381340310098
0.5004757373929591,4,2,-29.234008201960904,14.587996868138301
0.5004757373929591,4,3,-33.11677191967765,17.25360709273089
0.5004757373929591,4,4,-33.35518554296564,17.562454030416383
0.5004757373929591,4,5,-32.92436059859361,14.847086436138493
0.5004757373929591,4,6,-27.20145475824216,17.194581132420364
0.5004757373929591,4,7,-31.14347956864183,17.495361341522532
0.5004757373929591,4,8,-26.574063851113927,21.8545285309607
0.5004757373929591,4,9,-30.904499804232984,17.80393104862639
0.5004757373929591,4,10,-30.791640549170967,13.6096996724074
0.5004757373929591,4,11,-32.0080941037856,15.839312982048398
0.5004757373929591,4,12,-31.11170715571075,17.204299777552645
0.5004757373929591,4,13,-33.719821303264105,14.59010988924627
0.5004757373929591,4,14,-32.996548631274266,13.173834981078734
0.5004757373929591,4,15,-26.594531477112742,14.025734809216697
0.5004757373929591,4,16,-32.66225725974184,12.460345876394975
0.5004757373929591,4,17,-31.108010907536766,15.892365145834697
0.5004757373929591,4,18,-32.36795291154833,15.707508606516752
0.5004757373929591,4,19,-30.355783601042916,22.23474303384153
0.5004757373929591,8,0,-13.133096117372315,27.663965795772377
0.5004757373929591,8,1,-17.572674320366044,18.984483334760817
0.5004757373929591,8,2,-13.89013997286545,23.70578558300158
0.5004757373929591,8,3,-17.072664743704262,27.985889254884285
0.5004757373929591,8,4,-17.6956852313815,24.00813022672295
0.5004757373929591,8,5,-23.189094748337492,21.58733180767855
0.5004757373929591,8,6,-11.900011338111208,25.928067785807624
0.5004757373929591,8,7,-17.570808804865557,23.763538537540047
0.5004757373929591,8,8,-16.673978444328142,22.001475292470598
0.5004757373929591,8,9,-16.506420198574315,25.784690340110558
0.5004757373929591,8,10,-15.41651365966065,23.499160087706915
0.5004757373929591,8,11,-16.57890383459266,27.00801140700705
0.5004757373929591,8,12,-17.966047081210164,21.775046005127578
0.5004757373929591,8,13,-15.465846216704804,28.104084264987808
0.5004757373929591,8,14,-17.67479695024323,23.422044682252146
0.5004757373929591,8,15,-11.845020326906338,20.576239389613324
0.5004757373929591,8,16,-22.48635954128845,17.78839793831272
0.5004757373929591,8,17,-16.9334613181793,21.65338537671734
0.5004757373929591,8,18,-15.970374253717113,26.738482954525374
0.5004757373929591,8,19,-13.579873962173885,28.97863218984051
0.7497621313035204,4,0,22.942197527710306,28.237625556956985
0.7497621313035204,4,1,22.924380902829178,21.583597289577117
0.7497621313035204,4,2,22.81969121533758,23.098592271224323
0.7497621313035204,4,3,21.278764347950336,27.82899329205283
0.7497621313035204,4,4,22.003104487588942,26.318005594947252
0.7497621313035204,4,5,21.156566302878637,25.10507226319263
0.7497621313035204,4,6,22.805495561355457,29.279831653190957
0.7497621313035204,4,7,22.15959247874606,28.91652020765558
0.7497621313035204,4,8,23.31768025234539,22.287293037720975
0.7497621313035204,4,9,21.694496287028688,25.863355176413446
0.7497621313035204,4,10,23.118335356699294,27.58209803533083
0.7497621313035204,4,11,23.166973864784584,27.688565128768886
0.7497621313035204,4,12,24.09482855149456,25.277264305896484
0.7497621313035204,4,13,20.867127543268275,27.35601794850964
0.7497621313035204,4,14,21.67343416898566,23.078847411628892
0.7497621313035204,4,15,24.48612305164289,25.34841772536063
0.7497621313035204,4,16,19.665632343446937,27.075639907462396
0.7497621313035204,4,17,22.734247013307154,26.11177762661675
0.7497621313035204,4,18,20.8891175472828,26.99871740912654
0.7497621313035204,4,19,21.412636502991795,27.6465480234516
0.7497621313035204,8,0,36.99696662670564,39.53455620640865
0.7497621313035204,8,1,37.41251531709157,35.33049836227187
0.7497621313035204,8,2,35.6582727536101,35.98754926441985
0.7497621313035204,8,3,36.83284866745373,38.06430547386034
0.7497621313035204,8,4,38.152311062321104,38.45342329564374
0.7497621313035204,8,5,34.83819969215377,35.483447761684815
0.7497621313035204,8,6,37.740499444702266,38.316259615043776
0.7497621313035204,8,7,36.21480329871851,36.78550277025942
0.7497621313035204,8,8,37.26465962376326,34.42629881415841
0.7497621313035204,8,9,34.90252842708221,36.14205393500385
0.7497621313035204,8,10,35.63934557209902,36.56032961834303
0.7497621313035204,8,11,36.43576985611668,36.742598781981435
0.7497621313035204,8,12,37.73547208374885,36.518162719278
0.7497621313035204,8,13,35.90176760432171,37.316272585641755
0.7497621313035204,8,14,37.04003430642358,35.540966326460556
0.7497621313035204,8,15,36.71199702132237,36.77481806947686
0.7497621313035204,8,16,35.99427062198447,39.60935903680107
0.7497621313035204,8,17,36.61942354044746,36.60027380225263
0.7497621313035204,8,18,36.784239671678456,37.1762504181229
0.7497621313035204,8,19,36.13504444738022,36.503693959021234
