policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,6,1,0.4082536129,1.146768836,13.48945946,0.3139667111,0.08243243243,16.96275858
FreshSky-Safe,2,6,2,0.95,0.2551559305,4.59027027,0.05889274721,0.1991891892,0.2551559305
FreshSky-Safe,2,6,3,0.8542797728,0.4699577518,6.190810811,0.1167273443,0.1762162162,1.659239532
FreshSky-Safe,2,6,4,0.5796663152,0.8105930222,9.624054054,0.2083443146,0.1237837838,7.801267423
FreshSky-Safe,2,6,5,0.95,0.2156180293,4.711351351,0.05052454903,0.2,0.2156180293
FreshSky-Safe,2,6,6,0.7238759829,0.6208604762,8.447837838,0.1422945092,0.1340540541,2.871186191
FreshSky-Safe,2,6,7,0.298421524,1.535216558,15.10783784,0.3672072038,0.06351351351,23.96082791
FreshSky-Safe,2,6,8,0.95,0.2628816135,4.363243243,0.06024962385,0.2002702703,0.2628816135
FreshSky-Safe,2,6,9,0.3698913443,1.257463669,14.47756757,0.3361166401,0.07405405405,23.8388374
FreshSky-Safe,2,6,10,0.95,0.2571157349,4.774054054,0.06136032267,0.1991891892,0.2571157349
FreshSky-Safe,2,6,11,0.5870736138,0.7995478023,9.375135135,0.2199836926,0.1367567568,8.388242861
FreshSky-Safe,2,7,0,0.95,0.2129344738,4.629189189,0.0524854703,0.207027027,0.2129344738
FreshSky-Safe,2,7,1,0.8194645516,0.5105004868,5.512702703,0.1288668796,0.1854054054,1.836506329
FreshSky-Safe,2,7,2,0.5139536145,0.9182376412,10.55675676,0.2811792561,0.1197297297,9.728277542
FreshSky-Safe,2,7,3,0.1957148488,2.309972111,27.70837838,0.3958168427,0.03135135135,23.99665327
FreshSky-Safe,2,7,4,0.2668165055,1.705631049,17.85486486,0.3858414022,0.05675675676,23.99844559
FreshSky-Safe,2,7,5,0.95,0.2143947682,4.765675676,0.05354074752,0.2110810811,0.2143947682
FreshSky-Safe,2,7,6,0.9166527097,0.3910280632,5.218648649,0.1009275136,0.2016216216,0.3910280632
FreshSky-Safe,2,7,7,0.2817874583,1.619983796,17.47108108,0.383979943,0.06,23.99837962
FreshSky-Safe,2,7,8,0.4060368001,1.152645744,10.76459459,0.3295943776,0.1008108108,17.04789253
FreshSky-Safe,2,7,9,0.95,0.2643493157,4.762972973,0.06623022044,0.2062162162,0.2643493157
FreshSky-Safe,2,7,10,0.95,0.2202876177,4.726216216,0.05644125989,0.2172972973,0.2202876177
FreshSky-Safe,2,7,11,0.8957240492,0.4190042049,5.242972973,0.1088278489,0.2024324324,0.5330294346
FreshSky-Safe,2,8,0,0.924502767,0.3798996382,4.713243243,0.09600166532,0.2035135135,0.3798996382
FreshSky-Safe,2,8,1,0.7675714746,0.5699618165,6.919459459,0.1612837897,0.1735135135,3.229274514
FreshSky-Safe,2,8,2,0.2938168902,1.557699888,15.32513514,0.3784789729,0.0627027027,23.99708626
FreshSky-Safe,2,8,3,0.223720696,2.021057334,21.37621622,0.3932868326,0.04216216216,23.98019356
FreshSky-Safe,2,8,4,0.8564804989,0.4673466129,5.856756757,0.1169629631,0.1872972973,0.9387729028
FreshSky-Safe,2,8,5,0.95,0.2347890628,4.644594595,0.05945874375,0.2143243243,0.2347890628
FreshSky-Safe,2,8,6,0.4732619221,0.9960890923,10.45027027,0.2856352776,0.1159459459,18.47876186
FreshSky-Safe,2,8,7,0.198994158,2.271318822,20.96,0.394718379,0.03837837838,23.997183
FreshSky-Safe,2,8,8,0.3554966144,1.304697623,13.43243243,0.3579102938,0.08378378378,23.9059391
FreshSky-Safe,2,8,9,0.365156396,1.272612991,15.09513514,0.3418857602,0.08162162162,21.34145467
FreshSky-Safe,2,8,10,0.95,0.2590903055,4.58027027,0.06463252755,0.212972973,0.2590903055
FreshSky-Safe,2,8,11,0.8950142286,0.4199186836,5.051621622,0.1134915361,0.21,0.5991868362
FreshSky-Safe,2,9,0,0.3257577326,1.414897118,17.10918919,0.3697852737,0.06081081081,23.99176942
FreshSky-Safe,2,9,1,0.6871221964,0.6652565043,7.646486486,0.1814172467,0.1548648649,7.557695128
FreshSky-Safe,2,9,2,0.2523803769,1.798374164,20.89405405,0.3883516101,0.04621621622,23.99679272
FreshSky-Safe,2,9,3,0.1963495047,2.302374716,26.93810811,0.3938927555,0.03648648649,23.99736337
FreshSky-Safe,2,9,4,0.5437054116,0.8671448273,10.01324324,0.2575654501,0.1186486486,10.14576551
FreshSky-Safe,2,9,5,0.2493362779,1.819394726,21.26648649,0.3953495567,0.04081081081,23.99284056
FreshSky-Safe,2,9,6,0.95,0.209506079,4.146756757,0.05333911524,0.2275675676,0.209506079
FreshSky-Safe,2,9,7,0.4363495231,1.076896197,10.45324324,0.3242330711,0.1091891892,22.82929082
FreshSky-Safe,2,9,8,0.95,0.2790122724,4.681081081,0.07239237337,0.2145945946,0.2790122724
FreshSky-Safe,2,9,9,0.6652629851,0.6926602831,7.706756757,0.2107933726,0.1610810811,4.682564529
FreshSky-Safe,2,9,10,0.95,0.247425482,4.381621622,0.06399626655,0.2237837838,0.247425482
FreshSky-Safe,2,9,11,0.2127973752,2.123503268,25.42756757,0.3960046635,0.03540540541,23.99843146
FreshSky-Safe,2,10,0,0.2210551088,2.045012567,19.70486486,0.3935267425,0.04756756757,23.98155826
FreshSky-Safe,2,10,1,0.5230742899,0.9021077578,11.70513514,0.2642931918,0.107027027,9.761124977
FreshSky-Safe,2,10,2,0.4621770162,1.019211399,11.86513514,0.2892356673,0.1075675676,13.37634198
FreshSky-Safe,2,10,3,0.8877431859,0.4291816563,5.185405405,0.1094993199,0.2075675676,0.5750899378
FreshSky-Safe,2,10,4,0.3493760462,1.325898395,15.48621622,0.3404333716,0.07459459459,23.90929404
FreshSky-Safe,2,10,5,0.4491418585,1.047619095,10.85,0.3292921641,0.1135135135,18.95238289
FreshSky-Safe,2,10,6,0.5565464418,0.8463561798,10.13486486,0.2399534142,0.1283783784,11.17611011
FreshSky-Safe,2,10,7,0.34857734,1.328717478,14.54756757,0.3623448475,0.07891891892,23.92100401
FreshSky-Safe,2,10,8,0.2223217792,2.03354937,20.15432432,0.3946184994,0.04432432432,23.98978262
FreshSky-Safe,2,10,9,0.6900300697,0.6616731043,7.651351351,0.1863414526,0.16,4.448442774
FreshSky-Safe,2,10,10,0.2104662511,2.146920017,22.24405405,0.3951493328,0.03702702703,23.99908082
FreshSky-Safe,2,10,11,0.2177243916,2.075867389,28.02918919,0.3916095777,0.03702702703,23.99414089
FreshSky-Safe,2,11,0,0.95,0.3358641596,5.078108108,0.07979043144,0.2013513514,0.3358641596
FreshSky-Safe,2,11,1,0.2935060875,1.559243329,16.19297297,0.3750612331,0.06243243243,23.99535639
FreshSky-Safe,2,11,2,0.6227889451,0.7487311135,8.30972973,0.1970984066,0.152972973,7.620815611
