good_fraction,extra_delay,seed,metric,effect_type,effect
0.2502378686964795,8,3,p99_slot_aoi,gain_vs_conservative_pct,9.762532981530343
0.2502378686964795,8,4,p99_slot_aoi,gain_vs_conservative_pct,-9.202453987730062
0.2502378686964795,8,5,p99_slot_aoi,gain_vs_conservative_pct,-10.54131054131054
0.2502378686964795,8,6,p99_slot_aoi,gain_vs_conservative_pct,-3.9156626506024095
0.2502378686964795,8,7,p99_slot_aoi,gain_vs_conservative_pct,12.432432432432432
0.2502378686964795,8,8,p99_slot_aoi,gain_vs_conservative_pct,-4.891304347826087
0.2502378686964795,8,9,p99_slot_aoi,gain_vs_conservative_pct,6.806282722513089
0.2502378686964795,8,10,p99_slot_aoi,gain_vs_conservative_pct,2.8720626631853787
0.2502378686964795,8,11,p99_slot_aoi,gain_vs_conservative_pct,8.312958435207824
0.2502378686964795,8,12,p99_slot_aoi,gain_vs_conservative_pct,-19.07514450867052
0.2502378686964795,8,13,p99_slot_aoi,gain_vs_conservative_pct,-5.042016806722689
0.2502378686964795,8,14,p99_slot_aoi,gain_vs_conservative_pct,-5.157593123209169
0.2502378686964795,8,15,p99_slot_aoi,gain_vs_conservative_pct,4.383561643835616
0.2502378686964795,8,16,p99_slot_aoi,gain_vs_conservative_pct,11.246943765281173
0.2502378686964795,8,17,p99_slot_aoi,gain_vs_conservative_pct,4.123711340206185
0.2502378686964795,8,18,p99_slot_aoi,gain_vs_conservative_pct,-2.5139664804469275
0.2502378686964795,8,19,p99_slot_aoi,gain_vs_conservative_pct,-5.570291777188329
0.2502378686964795,8,0,cvar95_slot_aoi,gain_vs_conservative_pct,2.816690100853807
0.2502378686964795,8,1,cvar95_slot_aoi,gain_vs_conservative_pct,6.203242732831511
0.2502378686964795,8,2,cvar95_slot_aoi,gain_vs_conservative_pct,1.0113597849318714
0.2502378686964795,8,3,cvar95_slot_aoi,gain_vs_conservative_pct,12.051253804100876
0.2502378686964795,8,4,cvar95_slot_aoi,gain_vs_conservative_pct,-2.198724534802884
0.2502378686964795,8,5,cvar95_slot_aoi,gain_vs_conservative_pct,-5.392614163645439
0.2502378686964795,8,6,cvar95_slot_aoi,gain_vs_conservative_pct,-2.1239327054999837
0.2502378686964795,8,7,cvar95_slot_aoi,gain_vs_conservative_pct,11.481541941652488
0.2502378686964795,8,8,cvar95_slot_aoi,gain_vs_conservative_pct,-1.6062657639718558
0.2502378686964795,8,9,cvar95_slot_aoi,gain_vs_conservative_pct,8.746307937096459
0.2502378686964795,8,10,cvar95_slot_aoi,gain_vs_conservative_pct,7.192652516764818
0.2502378686964795,8,11,cvar95_slot_aoi,gain_vs_conservative_pct,7.91543392640968
0.2502378686964795,8,12,cvar95_slot_aoi,gain_vs_conservative_pct,-19.408593041450313
0.2502378686964795,8,13,cvar95_slot_aoi,gain_vs_conservative_pct,-1.1105401846140153
0.2502378686964795,8,14,cvar95_slot_aoi,gain_vs_conservative_pct,-4.410225541742426
0.2502378686964795,8,15,cvar95_slot_aoi,gain_vs_conservative_pct,1.8848745886672371
0.2502378686964795,8,16,cvar95_slot_aoi,gain_vs_conservative_pct,13.284920746486742
0.2502378686964795,8,17,cvar95_slot_aoi,gain_vs_conservative_pct,3.1463604923320583
0.2502378686964795,8,18,cvar95_slot_aoi,gain_vs_conservative_pct,-0.2760786681895685
0.2502378686964795,8,19,cvar95_slot_aoi,gain_vs_conservative_pct,-3.2471033749215295
0.2502378686964795,8,0,oracle_gap,expected_gap_vs_oracle_pct,2.985067964836421
0.2502378686964795,8,1,oracle_gap,expected_gap_vs_oracle_pct,10.038400718911499
0.2502378686964795,8,2,oracle_gap,expected_gap_vs_oracle_pct,3.2461877311845515
0.2502378686964795,8,3,oracle_gap,expected_gap_vs_oracle_pct,-7.379162059280569
0.2502378686964795,8,4,oracle_gap,expected_gap_vs_oracle_pct,-2.631998266579991
0.2502378686964795,8,5,oracle_gap,expected_gap_vs_oracle_pct,0.5785733762411187
0.2502378686964795,8,6,oracle_gap,expected_gap_vs_oracle_pct,-3.9174293906699447
0.2502378686964795,8,7,oracle_gap,expected_gap_vs_oracle_pct,3.803611292082556
0.2502378686964795,8,8,oracle_gap,expected_gap_vs_oracle_pct,0.3612018747769227
0.2502378686964795,8,9,oracle_gap,expected_gap_vs_oracle_pct,10.424425711499364
0.2502378686964795,8,10,oracle_gap,expected_gap_vs_oracle_pct,-2.4042267043553114
0.2502378686964795,8,11,oracle_gap,expected_gap_vs_oracle_pct,4.806417590952391
0.2502378686964795,8,12,oracle_gap,expected_gap_vs_oracle_pct,9.413083652768176
0.2502378686964795,8,13,oracle_gap,expected_gap_vs_oracle_pct,10.370494672580383
0.2502378686964795,8,14,oracle_gap,expected_gap_vs_oracle_pct,2.969224532427404
0.2502378686964795,8,15,oracle_gap,expected_gap_vs_oracle_pct,-2.5874531533123344
0.2502378686964795,8,16,oracle_gap,expected_gap_vs_oracle_pct,-2.734185397511584
0.2502378686964795,8,17,oracle_gap,expected_gap_vs_oracle_pct,-2.2189388065089912
0.2502378686964795,8,18,oracle_gap,expected_gap_vs_oracle_pct,5.293752092626647
0.2502378686964795,8,19,oracle_gap,expected_gap_vs_oracle_pct,14.263420991786026
0.5004757373929591,4,0,wAoI,gain_vs_conservative_pct,18.105682910947106
0.5004757373929591,4,1,wAoI,gain_vs_conservative_pct,13.044381340310098
0.5004757373929591,4,2,wAoI,gain_vs_conservative_pct,14.587996868138301
0.5004757373929591,4,3,wAoI,gain_vs_conservative_pct,17.25360709273089
0.5004757373929591,4,4,wAoI,gain_vs_conservative_pct,17.562454030416383
0.5004757373929591,4,5,wAoI,gain_vs_conservative_pct,14.847086436138493
0.5004757373929591,4,6,wAoI,gain_vs_conservative_pct,17.194581132420364
0.5004757373929591,4,7,wAoI,gain_vs_conservative_pct,17.495361341522532
0.5004757373929591,4,8,wAoI,gain_vs_conservative_pct,21.8545285309607
0.5004757373929591,4,9,wAoI,gain_vs_conservative_pct,17.80393104862639
0.5004757373929591,4,10,wAoI,gain_vs_conservative_pct,13.6096996724074
0.5004757373929591,4,11,wAoI,gain_vs_conservative_pct,15.839312982048398
0.5004757373929591,4,12,wAoI,gain_vs_conservative_pct,17.204299777552645
0.5004757373929591,4,13,wAoI,gain_vs_conservative_pct,14.59010988924627
0.5004757373929591,4,14,wAoI,gain_vs_conservative_pct,13.173834981078734
0.5004757373929591,4,15,wAoI,gain_vs_conservative_pct,14.025734809216697
0.5004757373929591,4,16,wAoI,gain_vs_conservative_pct,12.460345876394975
0.5004757373929591,4,17,wAoI,gain_vs_conservative_pct,15.892365145834697
0.5004757373929591,4,18,wAoI,gain_vs_conservative_pct,15.707508606516752
0.5004757373929591,4,19,wAoI,gain_vs_conservative_pct,22.23474303384153
0.5004757373929591,4,0,p99_slot_aoi,gain_vs_conservative_pct,17.449664429530202
0.5004757373929591,4,1,p99_slot_aoi,gain_vs_conservative_pct,3.9473684210526314
0.5004757373929591,4,2,p99_slot_aoi,gain_vs_conservative_pct,11.188811188811188
0.5004757373929591,4,3,p99_slot_aoi,gain_vs_conservative_pct,6.8493150684931505
0.5004757373929591,4,4,p99_slot_aoi,gain_vs_conservative_pct,11.643835616438356
0.5004757373929591,4,5,p99_slot_aoi,gain_vs_conservative_pct,5.147058823529412
0.5004757373929591,4,6,p99_slot_aoi,gain_vs_conservative_pct,3.9682539682539684
0.5004757373929591,4,7,p99_slot_aoi,gain_vs_conservative_pct,14.184397163120567
0.5004757373929591,4,8,p99_slot_aoi,gain_vs_conservative_pct,23.89937106918239
0.5004757373929591,4,9,p99_slot_aoi,gain_vs_conservative_pct,12.949640287769784
0.5004757373929591,4,10,p99_slot_aoi,gain_vs_conservative_pct,4.761904761904762
0.5004757373929591,4,11,p99_slot_aoi,gain_vs_conservative_pct,4.895104895104895
0.5004757373929591,4,12,p99_slot_aoi,gain_vs_conservative_pct,7.857142857142857
0.5004757373929591,4,13,p99_slot_aoi,gain_vs_conservative_pct,12.837837837837839
0.5004757373929591,4,14,p99_slot_aoi,gain_vs_conservative_pct,6.040268456375839
0.5004757373929591,4,15,p99_slot_aoi,gain_vs_conservative_pct,7.092198581560283
0.5004757373929591,4,16,p99_slot_aoi,gain_vs_conservative_pct,9.154929577464788
0.5004757373929591,4,17,p99_slot_aoi,gain_vs_conservative_pct,5.673758865248227
