policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,slot_aoi_gt40,slot_aoi_gt60,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,uav_pi_los,uav_pth,uav_mean_aoi,uav_avg_power,uav_service_rate,uav_max_queue,method,dwell,delay
FreshSky-Safe,2,10,324.1372972972973,15.346216216216217,14.56358108108108,29.0,46.0,39.96306306306306,0.016463963963963962,0.0037162162162162164,0.11128378378378377,0.053513513513513515,0.8314055036168644,27.0,105.0,0.07693693693693694,854,11100,0.3074299572494608,0.3984657549917095,23.996897555014424,0.4064864864864865,True,True,0.2210551088;0.5230742899;0.4621770162;0.8877431859;0.3493760462;0.4491418585;0.5565464418;0.34857734;0.2223217792;0.6900300697;0.2104662511;0.2177243916,2.045012567;0.9021077578;1.019211399;0.4291816563;1.325898395;1.047619095;0.8463561798;1.328717478;2.03354937;0.6616731043;2.146920017;2.075867389,13.09108108;6.987027027;8.343243243;4.434054054;10.63351351;7.603783784;6.543783784;9.150540541;13.18054054;5.263513514;15.34621622;13.92324324,0.396290273;0.2528339851;0.2829000289;0.1190109133;0.338641617;0.3145688687;0.2452145472;0.363422186;0.398465755;0.1859837915;0.3957295815;0.3960979397,0.0627027027;0.1391891892;0.117027027;0.2175675676;0.08108108108;0.1281081081;0.1432432432;0.09378378378;0.06;0.1789189189;0.05351351351;0.06027027027,23.99689756;6.927400852;8.395553375;0.4875449689;18.83519244;10.60952659;4.434411237;16.84972149;23.98978262;2.355057939;23.9963233;23.98673892,Bayesian ensemble,2.0,2
FreshSky-Safe,2,11,270.9443243243243,14.47891891891892,12.591527027027025,24.0,37.0,32.596846846846844,0.0068693693693693695,0.000990990990990991,0.1264864864864865,0.055675675675675676,0.8607567410368951,23.0,80.0,0.01855855855855856,206,11100,0.25489466879624995,0.39743135909114347,23.99683310085222,0.4064864864864865,True,True,0.95;0.2935060875;0.6227889451;0.4312530983;0.6153269509;0.4183303984;0.9434799305;0.4987828682;0.6260188518;0.4351735249;0.2492611008;0.2092716103,0.3358641596;1.559243329;0.7487311135;1.088976442;0.7590395275;1.120756955;0.3508668233;0.9460759936;0.7443154627;1.079661914;1.819920828;2.159149808,4.229189189;9.986486486;6.314594595;7.428108108;7.890810811;9.128108108;4.132162162;7.687567568;7.133243243;8.588378378;11.0472973;14.47891892,0.0875970038;0.3754826502;0.1995267238;0.3075622655;0.188529007;0.3068450797;0.09217366278;0.2406101378;0.1758193823;0.2967611262;0.3974313591;0.3903976274,0.2232432432;0.07945945946;0.152972973;0.1151351351;0.1345945946;0.0972972973;0.2227027027;0.1218918919;0.1372972973;0.1043243243;0.07324324324;0.05567567568,0.3358641596;23.96508953;3.189848908;7.490552405;2.913276692;11.54346559;0.3508668233;5.467595866;2.810208239;7.989857432;23.9968331;23.96599232,Bayesian ensemble,2.0,2
FreshSky-Safe,2,12,290.3864864864865,13.406486486486486,12.1727027027027,24.0,36.0,32.328828828828826,0.005878378378378378,0.0009009009009009009,0.11709459459459459,0.06324324324324325,0.8507216416582912,24.0,100.0,0.016846846846846848,187,11100,0.2756126860094565,0.3962427935794321,23.996986161784534,0.4064864864864865,True,True,0.2277146089;0.9318683167;0.4490225566;0.364868936;0.3264467419;0.2532754659;0.5108922966;0.7249468559;0.885090931;0.3371942215;0.4510893652;0.3770521179,1.986329388;0.369039043;1.047885528;1.273544601;1.412123145;1.792296255;0.9237509324;0.6195927545;0.4325165816;1.370290719;1.043286736;1.235229773,13.40648649;4.547297297;7.594054054;8.518108108;9.568378378;11.16324324;7.906486486;5.717297297;4.497027027;10.29054054;9.498378378;9.087837838,0.3956553403;0.09245924132;0.2985057695;0.3390382249;0.3568473353;0.3962427936;0.2359309814;0.1525537836;0.1128050003;0.3433133774;0.2661791024;0.317821282,0.06324324324;0.2132432432;0.1162162162;0.09540540541;0.08513513514;0.06945945946;0.1175675676;0.1645945946;0.2086486486;0.08027027027;0.1008108108;0.09054054054,23.99698616;0.369039043;8.118282927;12.60633804;16.81218694;23.9884303;6.161260256;1.717556527;0.5625829082;17.82907187;7.509021461;13.49212295,Bayesian ensemble,2.0,2
FreshSky-Safe,2,13,208.62567567567567,11.684864864864865,10.548297297297296,19.0,30.0,25.647297297297296,0.001981981981981982,0.0,0.1598198198198198,0.06837837837837837,0.9109787951431266,18.0,58.0,0.004864864864864865,54,11100,0.1816396781094145,0.39240623398525154,23.991444801722224,0.4064864864864865,True,True,0.931036637;0.7159624459;0.6775674106;0.3509019354;0.95;0.7562371291;0.2357345475;0.5713184825;0.95;0.8385292043;0.9458583108;0.3749843981,0.3702883284;0.6302691506;0.6771299559;1.320546841;0.2764601871;0.5830294735;1.920506701;0.8232731646;0.2265612916;0.488449848;0.3469497415;1.241568686,4.326486486;5.488378378;6.724324324;9.618378378;4.427837838;5.795945946;11.68486486;6.406216216;4.083513514;4.527297297;4.622702703;8.958648649,0.09147122492;0.1669361534;0.161779157;0.3354902785;0.07098302102;0.148593728;0.392406234;0.2222837544;0.05976319476;0.1279210548;0.07689156433;0.3251567721,0.2083783784;0.1735135135;0.1464864865;0.08621621622;0.2105405405;0.1713513514;0.06837837838;0.1445945946;0.2237837838;0.1967567568;0.1916216216;0.09621621622,0.3702883284;2.011884054;2.339909691;16.10952942;0.2764601871;1.315147367;23.9914448;3.056004811;0.2265612916;1.196048632;0.3469497415;12.51451109,Bayesian ensemble,2.0,2
FreshSky-Safe,2,14,280.3132432432432,13.193513513513514,12.565770270270269,24.0,38.0,33.03963963963964,0.007364864864864865,0.0016891891891891893,0.1225225225225225,0.062162162162162166,0.8725678692072844,23.0,95.0,0.01972972972972973,219,11100,0.27341989227155056,0.3980061035441758,23.97828642508545,0.4064864864864865,True,True,0.3969158517;0.64914127;0.685168137;0.2123384503;0.8391928019;0.2547057577;0.6450583303;0.3536782427;0.3495021855;0.2638904463;0.8142278578;0.4332858251,1.177446822;0.7134614509;0.6676722331;2.128067317;0.4876767217;1.782678959;0.7188179662;1.310923092;1.325454306;1.723560971;0.5165166625;1.084128614,8.262432432;6.049459459;5.462702703;13.19351351;5.035675676;12.05216216;5.63027027;10.13702703;8.754324324;10.62405405;5.067027027;8.433783784,0.3147283531;0.1928274192;0.1802715029;0.3980061035;0.1257415115;0.392189371;0.1919438245;0.3380055756;0.3489168904;0.378251759;0.1306647557;0.2894916408,0.1032432432;0.16;0.1727027027;0.06216216216;0.1905405405;0.06918918919;0.1656756757;0.08081081081;0.09297297297;0.07756756757;0.1872972973;0.1081081081,11.54893643;2.280768706;1.873705632;23.95868571;0.750706887;23.97828643;2.150543729;18.38984697;15.56726364;23.73829221;1.215616637;8.609543371,Bayesian ensemble,2.0,2
FreshSky-Safe,2,15,256.43864864864867,13.976486486486486,12.614567567567565,22.0,37.0,30.77207207207207,0.006824324324324324,0.0007432432432432432,0.14362612612612613,0.05702702702702703,0.8628728094800027,20.0,72.0,0.043333333333333335,481,11100,0.23151358141188116,0.3991569395287686,23.9989678459321,0.4064864864864865,True,True,0.95;0.6682774533;0.3936552323;0.8783623152;0.2542081145;0.6112416568;0.1961261937;0.2603661895;0.4858854259;0.9440218225;0.777121657;0.6438927182,0.2609434761;0.6888292002;1.186565108;0.4408835581;1.786011998;0.7647485898;2.305041448;1.74572184;0.9708198352;0.349980936;0.5589976316;0.7203540735,4.168108108;5.369459459;8.159189189;4.599459459;11.50027027;6.035405405;13.97648649;11.41810811;7.277297297;4.283783784;5.372702703;6.761621622,0.06932633432;0.1941753664;0.3303140705;0.1085526815;0.3914745218;0.2114426506;0.3968409195;0.3991569395;0.2684185652;0.08957620174;0.1403537297;0.1785309961,0.2278378378;0.1743243243;0.1054054054;0.2016216216;0.06675675676;0.16;0.05702702703;0.06702702703;0.1264864865;0.2162162162;0.1805405405;0.1402702703,0.2609434761;2.021804401;9.785041725;0.5226506742;23.98869591;3.647485898;23.99896785;23.9729451;6.220657858;0.349980936;1.830978684;2.562832588,Bayesian ensemble,2.0,2
FreshSky-Safe,2,16,298.70054054054054,14.173513513513514,14.133527027027027,26.0,43.0,36.87117117117117,0.01268018018018018,0.002792792792792793,0.13394144144144146,0.05810810810810811,0.8262971184884742,22.0,95.0,0.07936936936936936,881,11100,0.2682649092222588,0.3996363495072018,23.992920516228224,0.4064864864864865,True,True,0.3932789834;0.7735119064;0.901603995;0.8416273572;0.2260479039;0.7045979448;0.6624829137;0.1982197585;0.7522839954;0.3841282698;0.2247729528;0.2144342016,1.187626136;0.5631378354;0.4113518347;0.4848363331;2.00065631;0.6439160289;0.6962092138;2.280313362;0.5876051337;1.214015836;2.011774821;2.107404393,8.09972973;4.85027027;4.185405405;5.188648649;13.20864865;5.307837838;5.352432432;12.71891892;4.957567568;8.103783784;14.10081081;14.17351351,0.3267576774;0.1663539606;0.1122879333;0.1236987834;0.3963462366;0.184125178;0.202465166;0.3993629888;0.1629413154;0.3487834685;0.3996363495;0.3964198533,0.1081081081;0.1967567568;0.22;0.1897297297;0.06243243243;0.1832432432;0.1743243243;0.05810810811;0.1913513514;0.1035135135;0.06108108108;0.05864864865,16.96893294;1.052551342;0.4340555041;0.9938543319;23.93799971;2.107412202;2.962092138;23.99292052;1.338025668;13.56331437;23.97816987;23.98795736,Bayesian ensemble,2.0,2
FreshSky-Safe,2,17,238.00837837837838,13.321351351351352,13.208972972972973,23.0,39.0,32.83513513513513,0.008513513513513513,0.0012612612612612612,0.1564189189189189,0.06054054054054054,0.8538491221607799,19.0,77.0,0.024414414414414415,271,11100,0.20947785543402186,0.39709581671024025,23.994171082599472,0.4064864864864865,True,True,0.6058267012;0.4606290406;0.8627452041;0.95;0.8920394043;0.9329954481;0.2434414901;0.2237143759;0.7874097494;0.2072792387;0.95;0.5223938409,0.772389876;1.022513998;0.4598691245;0.2139841101;0.4237308779;0.3673358894;1.861711545;2.021113381;0.5472165522;2.179902851;0.241873434;0.9032962107,7.30027027;8.346756757;4.406486486;3.63027027;4.334324324;4.193783784;11.77108108;13.32135135;4.917297297;13.11702703;4.173783784;6.801891892,0.2068752344;0.2771842;0.1219274625;0.06003121792;0.1110862031;0.09640085096;0.3909594244;0.3916589984;0.1461216091;0.3970958167;0.06269097924;0.2517022684,0.1391891892;0.1110810811;0.2075675676;0.24;0.2124324324;0.2194594595;0.06891891892;0.06324324324;0.1918918919;0.06054054054;0.2210810811;0.1416216216,3.72389876;5.470167977;0.5796073736;0.2139841101;0.4711926338;0.3673358894;23.9450387;23.98927478;0.988866209;23.99417108;0.241873434;4.64614695,Bayesian ensemble,2.0,2
FreshSky-Safe,2,18,219.98297297297296,12.472162162162162,11.821675675675674,20.0,33.0,28.55990990990991,0.004617117117117117,0.0008783783783783784,0.16603603603603603,0.062162162162162166,0.8708247783327071,18.0,93.0,0.016936936936936937,188,11100,0.18836331238273626,0.39416010714460115,23.9905735514951,0.4064864864864865,True,True,0.95;0.2298402862;0.2514208534;0.95;0.8064515181;0.2889292384;0.86964094;0.95;0.4229897239;0.9113191376;0.93510967;0.8418183031,0.2641897105;1.968390267;1.804941085;0.3377909827;0.5254308787;1.582364629;0.451552802;0.2372894534;1.10910177;0.3983676074;0.3641087485;0.4846132827,4.086216216;12.47216216;10.89135135;4.161891892;5.151621622;11.28945946;4.468648649;3.98;8.15027027;4.420810811;4.44027027;4.982702703,0.06983176671;0.3936780535;0.3941601071;0.08727788634;0.1322097697;0.3857548366;0.1171596459;0.06297790357;0.2967596629;0.1014222395;0.09417623575;0.124951641,0.2240540541;0.06216216216;0.0672972973;0.2210810811;0.1805405405;0.0772972973;0.2035135135;0.2278378378;0.1075675676;0.2148648649;0.2148648649;0.1913513514,0.2641897105;23.97971476;23.99057355;0.3377909827;0.776292636;22.63084935;0.554658406;0.2372894534;7.854849567;0.3983676074;0.3641087485;0.6538398482,Bayesian ensemble,2.0,2
FreshSky-Safe,2,19,307.3518918918919,14.905945945945946,13.639459459459458,26.0,41.0,35.042792792792795,0.010315315315315316,0.001081081081081081,0.11126126126126128,0.05162162162162162,0.8681176606855071,25.0,86.0,0.033153153153153155,368,11100,0.2920152959470574,0.39944675669236435,23.99721232470697,0.4064864864864865,True,True,0.8339118425;0.4218873338;0.3658373363;0.3670076204;0.481511622;0.1930715746;0.2120595117;0.3057773787;0.5446939528;0.4653449839;0.3623629999;0.8770434254,0.4938172966;1.111838862;1.270411673;1.266646367;0.9794527448;2.342239302;2.1308523;1.500722279;0.8655191693;1.012509865;1.281724896;0.4425090154,4.743243243;9.746756757;9.3;9.188918919;7.801081081;14.90594595;12.60324324;9.623243243;6.751351351;7.463783784;9.224864865;4.695675676,0.1299940667;0.2773587216;0.3426677972;0.3536339723;0.2625992224;0.3994467567;0.3967992526;0.3820757802;0.2357954926;0.2791243411;0.3339412972;0.1107468509,0.192972973;0.09135135135;0.09594594595;0.09081081081;0.1145945946;0.05162162162;0.06621621622;0.08216216216;0.1391891892;0.1194594595;0.09432432432;0.1964864865,0.7752691863;9.565744072;15.87410111;14.73286645;6.778109793;23.99721232;23.9781354;22.54550356;5.186230032;6.262864994;12.33141948;0.5700360617,Bayesian ensemble,2.0,2
